fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
10,"[9.14309537e-04 9.53161790e-04 9.25187356e-04 1.06246112e-03
 3.79199177e-05 7.65928968e-05 1.14976592e-04 1.75648042e-04
 2.11139559e-04 1.29336103e-04]","[8.46019375e-04 2.19743017e-04 3.54350068e-05 7.64278710e-05
 1.92810072e-03 5.35167205e-04 4.13882758e-04 4.31661398e-04
 5.55358009e-04 7.78171466e-06]","[0.07014136 0.06815223 0.07540274 0.0787696  0.00039566 0.00064436
 0.00138176 0.00135391 0.00247096 0.00129714]","[0.00048754 0.00598775 0.00422514 0.00113405 0.00305813 0.0018422
 0.00013445 0.00015325 0.00191012 0.00098128]"
11,"[1.23837382e-03 1.21557927e-03 1.32826191e-03 1.46905469e-03
 3.36421424e-05 6.01996628e-05 1.04679421e-04 1.22233491e-04
 1.72377845e-04 1.28008807e-04]","[0.00226049 0.0118869  0.00200274 0.00045334 0.00378009 0.00851866
 0.00473844 0.023648   0.01698299 0.00055038]","[0.06134463 0.05888875 0.06764938 0.06993778 0.00046209 0.00066333
 0.00138504 0.00128767 0.00251035 0.00129167]","[3.52356605e-01 3.76526961e-01 3.14359437e-01 3.54406949e-01
 4.00864297e-04 1.08363905e-03 2.97406282e-06 2.80267208e-03
 3.34781988e-04 1.20015272e-03]"
12,"[8.58874495e-04 8.64793713e-04 9.78533141e-04 1.13777197e-03
 5.44909784e-05 9.90641532e-05 1.19553977e-04 2.39176417e-04
 2.49837623e-04 1.29772100e-04]","[0.03058357 0.0352158  0.01946613 0.01635941 0.00016326 0.00125037
 0.0022069  0.00231724 0.00357064 0.00013496]","[0.05184111 0.04972744 0.0571293  0.06045624 0.00047118 0.00069036
 0.00138511 0.00135722 0.00251798 0.00132165]","[7.32497544e-01 7.42979375e-01 7.35162653e-01 7.33668513e-01
 3.72320871e-05 2.41977351e-06 4.67603637e-07 2.06683712e-05
 2.93546661e-05 7.59942169e-07]"
13,"[8.97783201e-04 8.91944623e-04 1.00522204e-03 1.14699514e-03
 5.06204382e-05 1.00008834e-04 1.25677008e-04 2.30121579e-04
 2.48900735e-04 1.32962701e-04]","[1.75985177e-03 2.68177363e-03 2.55822001e-03 9.13995091e-04
 9.67322729e-05 7.44469080e-05 1.37317045e-04 1.45683562e-06
 4.64553025e-04 4.13979970e-04]","[0.06974026 0.06792098 0.07508187 0.07845412 0.00047145 0.00069032
 0.00138192 0.00135645 0.00251776 0.00131722]","[1.65317279e-02 1.52379250e-02 1.70597623e-02 1.37532364e-02
 2.63556630e-05 4.15041914e-06 1.27725573e-04 5.14237349e-05
 3.80417225e-05 1.77924430e-04]"
14,"[9.35775487e-04 9.23683818e-04 1.03903673e-03 1.18576535e-03
 4.58551393e-05 9.82224759e-05 1.30862980e-04 2.24118119e-04
 2.52574335e-04 1.30320206e-04]","[3.93910880e-03 4.31471210e-03 4.31614225e-03 4.01954370e-03
 8.55064322e-06 8.61442210e-06 4.06472007e-07 1.18489505e-10
 5.22852455e-06 5.27842357e-06]","[0.07005187 0.06825924 0.07545357 0.07871746 0.00045951 0.00068323
 0.00138388 0.00135698 0.00251277 0.00131921]","[4.06724016e-03 1.70764595e-03 2.19200222e-03 3.21981398e-03
 5.04058401e-04 2.87509143e-04 4.94421782e-05 3.01966780e-05
 2.37768127e-04 9.84973150e-05]"
15,"[8.67582685e-04 8.64316884e-04 1.02775941e-03 9.58496476e-04
 4.71620064e-05 8.74568405e-05 1.25666945e-04 2.14676243e-04
 2.53100243e-04 7.58993568e-05]","[1.26798385e-02 1.28987512e-02 5.62512278e-03 4.22695748e-02
 9.36792028e-07 1.41405858e-03 8.64730184e-03 1.48778765e-03
 8.46823059e-03 1.70550122e-02]","[0.06971152 0.06794491 0.07520066 0.07680006 0.00046758 0.00067829
 0.0008247  0.00135591 0.00185293 0.00058422]","[1.76813633e-02 1.42807741e-02 1.23084466e-02 7.99157472e-02
 1.81416510e-04 4.85226126e-04 2.24168110e-02 7.32522744e-05
 2.66314791e-02 2.94981639e-02]"
16,"[7.04878338e-04 6.93438578e-04 8.50713159e-04 9.81442682e-04
 4.68640889e-05 9.41297985e-05 1.80289434e-04 2.16221652e-04
 3.07162858e-04 1.92655419e-04]","[1.82443516e-02 1.98493576e-02 1.12667039e-02 1.56740583e-02
 3.38269537e-05 8.36766855e-04 9.75269692e-05 1.20707723e-03
 2.46228468e-04 3.62953872e-04]","[0.07013257 0.06824684 0.0755056  0.0786865  0.00046404 0.0006819
 0.00115596 0.00132457 0.00219547 0.00117235]","[0.00083938 0.00220332 0.00011055 0.00445814 0.00032283 0.0003407
 0.0091664  0.00132682 0.0129297  0.00597272]"
17,"[8.95941957e-04 8.74380113e-04 1.02296909e-03 1.12537973e-03
 4.68157882e-05 9.48779030e-05 1.29291631e-04 2.22643779e-04
 2.45418912e-04 1.26272364e-04]","[5.50931882e-06 1.54436926e-05 1.32549476e-04 8.93974181e-06
 2.50478913e-06 8.40122474e-05 4.13122783e-07 5.75044210e-05
 8.83423811e-07 7.26427773e-05]","[0.06975956 0.06794239 0.07507409 0.0784156  0.00047132 0.00068944
 0.00138503 0.00135421 0.00251836 0.00132002]","[1.57594552e-02 1.43814456e-02 1.73709401e-02 1.52940303e-02
 3.15170353e-05 3.92150713e-05 3.48805382e-06 1.41044062e-04
 1.40352903e-05 6.60940874e-05]"
18,"[8.51107768e-04 8.25623365e-04 1.00476795e-03 1.08932363e-03
 4.82116199e-05 9.95052549e-05 1.36074349e-04 2.30338595e-04
 2.56338916e-04 1.38313887e-04]","[3.66429909e-04 1.62379526e-04 3.92355551e-04 2.11861816e-04
 4.09540673e-05 4.43033778e-07 2.10395167e-05 4.99162642e-05
 3.28570438e-06 2.75886840e-05]","[0.06980573 0.0680242  0.07524221 0.07847013 0.00046817 0.00068496
 0.00138482 0.00135762 0.00251664 0.00131846]","[1.39129353e-02 1.11090394e-02 1.06464521e-02 1.31128896e-02
 1.57594841e-04 2.18196032e-04 1.18444736e-05 4.91855537e-06
 8.30303355e-05 1.28366179e-04]"
19,"[8.38240110e-04 8.27379236e-04 9.76528380e-04 1.05573510e-03
 4.64452050e-05 9.67841659e-05 1.29308091e-04 2.24308986e-04
 2.48731626e-04 1.26887234e-04]","[2.95184204e-05 3.64346838e-06 4.30884458e-05 1.94351390e-04
 1.24206804e-05 1.27937200e-06 7.23845497e-05 2.16726732e-05
 1.44774067e-04 5.44174398e-05]","[0.06969812 0.06791446 0.07505914 0.07829536 0.00046937 0.0006904
 0.00138396 0.00135546 0.00251124 0.00132017]","[1.82173427e-02 1.54987119e-02 1.79690090e-02 2.01039768e-02
 1.09784580e-04 8.52121708e-07 4.64695369e-05 9.12924700e-05
 2.99105628e-04 5.99069994e-05]"
20,"[8.95453875e-04 8.73000959e-04 1.01940834e-03 1.10672866e-03
 4.65211372e-05 9.93481832e-05 1.30593030e-04 2.25752311e-04
 2.45121963e-04 1.26164040e-04]","[1.98906499e-04 1.76035272e-04 1.42545264e-04 2.08037219e-04
 6.98215776e-07 4.68371565e-06 1.02447264e-07 1.76516815e-06
 1.33556601e-06 6.17156373e-06]","[0.06975281 0.06792622 0.07512364 0.07839128 0.00047171 0.00069026
 0.0013851  0.00135769 0.0025181  0.00132137]","[1.60295351e-02 1.50282305e-02 1.53891805e-02 1.62670441e-02
 1.61452622e-05 6.52631065e-06 8.73331728e-07 2.14169251e-06
 2.45286324e-05 1.21744237e-05]"
21,"[1.00258016e-03 1.00954127e-03 1.07366846e-03 1.15486673e-03
 4.50650389e-05 9.50611508e-05 1.18886550e-04 2.12769599e-04
 2.26794908e-04 1.19409382e-04]","[4.16748561e-03 4.32369620e-03 4.26422910e-03 1.29631903e-03
 1.43700927e-06 5.55024144e-07 8.15195860e-04 2.05892501e-07
 8.85085598e-04 8.58292788e-04]","[0.06977948 0.0679792  0.07516086 0.07844987 0.00047022 0.00068993
 0.00138465 0.00135728 0.00251824 0.00132167]","[1.49629262e-02 1.29091600e-02 1.39003911e-02 1.39235272e-02
 7.57692909e-05 1.95639924e-05 1.87060005e-05 1.83306903e-05
 1.91801284e-05 9.61905760e-09]"
22,"[1.01566928e-03 1.01475026e-03 1.12918617e-03 1.18984858e-03
 4.45294037e-05 9.95524039e-05 1.28760230e-04 2.24584785e-04
 2.38435333e-04 1.27755769e-04]","[6.84545869e-05 2.10895538e-06 2.89158666e-06 9.51227644e-06
 9.45941619e-05 4.32077748e-05 2.69312305e-05 9.93945984e-06
 2.05791259e-05 1.91471219e-06]","[0.06970918 0.06795489 0.07509726 0.07839688 0.0004661  0.00068977
 0.00138401 0.00135503 0.00251676 0.00132161]","[1.77746499e-02 1.38816525e-02 1.64443152e-02 1.60429774e-02
 2.40286541e-04 2.58695688e-05 4.43652930e-05 1.08471498e-04
 7.81535743e-05 2.47909453e-06]"
23,"[9.98769854e-04 1.00608178e-03 1.11876408e-03 1.16606013e-03
 4.50283786e-05 9.82940335e-05 1.27736652e-04 2.20989795e-04
 2.42071343e-04 1.27920253e-04]","[5.18355093e-04 1.49955840e-05 3.78668465e-05 2.15314384e-04
 3.57021016e-04 2.76018637e-04 6.55098926e-05 5.20383306e-06
 1.16665524e-04 7.25902371e-05]","[0.06979423 0.06795131 0.07513928 0.07843625 0.00047206 0.00069035
 0.00138511 0.0013575  0.00251863 0.00132163]","[1.43726063e-02 1.40248317e-02 1.47634552e-02 1.44684183e-02
 2.12962327e-06 2.62166025e-06 1.59147739e-07 9.47702101e-06
 3.45311585e-06 1.48893911e-06]"
24,"[9.22419286e-04 9.28784208e-04 1.03849060e-03 1.10236848e-03
 4.35389514e-05 9.78181033e-05 1.30551287e-04 2.22291601e-04
 2.46273197e-04 1.27342799e-04]","[3.18432386e-03 9.38196242e-04 7.39326697e-04 2.10696347e-03
 6.65630937e-04 8.54933797e-04 1.10841772e-04 1.18296554e-05
 2.33224285e-04 3.50105603e-04]","[0.06947284 0.06788733 0.07508415 0.07823137 0.00043929 0.00066024
 0.00137989 0.00135768 0.00250687 0.00131139]","[2.72282220e-02 1.65838890e-02 1.69687920e-02 2.26635965e-02
 1.31270813e-03 1.20724612e-03 2.09248649e-04 2.20780006e-06
 4.73753738e-04 4.11279129e-04]"
25,"[1.43479880e-03 1.43218271e-03 1.58337125e-03 1.65919131e-03
 4.87409496e-05 9.70968620e-05 1.28775375e-04 2.21543578e-04
 2.45645066e-04 1.30111507e-04]","[2.96747367e-04 3.90670023e-04 2.78002354e-04 2.32904979e-04
 6.44661043e-06 3.05758310e-07 3.86174403e-06 9.56028947e-06
 2.02873643e-05 1.99424641e-06]","[0.05701656 0.05519055 0.06129601 0.06431821 0.0004721  0.00066927
 0.00135246 0.00133555 0.00248476 0.00132042]","[5.25479671e-01 5.24455206e-01 5.68494064e-01 5.79189865e-01
 4.99806026e-07 8.45977199e-04 1.30649566e-03 8.87602399e-04
 1.35810298e-03 4.98406629e-05]"
26,"[1.55105203e-03 1.59423172e-03 1.64668015e-03 1.72964281e-03
 4.91484297e-05 9.30907099e-05 1.24398705e-04 2.18250744e-04
 2.42522314e-04 1.31418007e-04]","[4.91784627e-03 6.96584998e-03 9.25436344e-03 8.90140536e-03
 1.77803830e-04 6.79761938e-04 5.86603649e-04 1.62254971e-04
 1.18496106e-04 3.43117336e-06]","[0.05687178 0.05505126 0.06019117 0.06312654 0.00047209 0.0006179
 0.00128633 0.0012829  0.00241723 0.00131965]","[5.31270885e-01 5.30026656e-01 6.12687811e-01 6.26856524e-01
 7.29345539e-07 2.90094888e-03 3.95130416e-03 2.99367375e-03
 4.05939954e-03 8.09809657e-05]"
27,"[1.15989358e-03 1.22114575e-03 1.13013094e-03 1.25492208e-03
 2.36476280e-05 5.71587441e-05 9.77106139e-05 9.19140293e-05
 1.38280186e-04 1.33614697e-04]","[6.97846692e-02 3.11533140e-02 1.32085997e-01 1.25955069e-01
 7.68512886e-03 9.85423362e-03 8.23258822e-03 3.49440808e-02
 3.18260170e-02 7.28441982e-05]","[0.06286347 0.06312652 0.06534705 0.06825968 0.00029143 0.0004526
 0.00108672 0.00052466 0.00157525 0.00131824]","[2.91603077e-01 2.07016158e-01 4.06452826e-01 4.21531117e-01
 7.22713635e-03 9.51281871e-03 1.19358747e-02 3.33231318e-02
 3.77384996e-02 1.37305641e-04]"
28,"[1.13300006e-03 1.19275390e-03 1.17467805e-03 1.28207064e-03
 5.13728688e-05 9.59904104e-05 1.37146587e-04 2.30845304e-04
 2.64898629e-04 1.39737972e-04]","[2.86992965e-06 6.04471255e-06 1.38577872e-05 3.72566826e-05
 5.84480190e-07 4.11488617e-06 1.94457943e-05 1.59770910e-06
 1.32876692e-05 5.67021035e-06]","[0.06972859 0.06793348 0.07510486 0.07838974 0.0004701  0.00069014
 0.00138495 0.00135694 0.0025177  0.00132166]","[1.69984922e-02 1.47378048e-02 1.61402256e-02 1.63287178e-02
 8.06207328e-05 1.11160781e-05 6.73088218e-06 3.18640671e-05
 4.07619744e-05 5.47132307e-07]"
29,"[1.20448112e-03 1.31380587e-03 1.21936466e-03 1.27217952e-03
 5.70382538e-05 9.11027063e-05 1.26028770e-04 2.29904267e-04
 2.60330303e-04 1.35678538e-04]","[1.16739005e-02 1.00782752e-02 9.29603623e-03 1.08952542e-02
 5.86022859e-05 1.35253918e-04 1.34358307e-05 1.57979126e-05
 1.59178745e-05 6.34313473e-05]","[0.06985382 0.06807387 0.07526323 0.0785456  0.00046722 0.00068768
 0.00138308 0.00135743 0.0025181  0.00132162]","[1.19891833e-02 9.12227279e-03 9.80547747e-03 1.00942234e-02
 1.95567337e-04 1.09673638e-04 8.14527357e-05 1.23342913e-05
 2.45958693e-05 2.09497054e-06]"
30,"[1.10211952e-03 1.17133581e-03 1.13981261e-03 1.22350703e-03
 5.70542655e-05 9.11460288e-05 1.30024431e-04 2.30271033e-04
 2.62365236e-04 1.34394272e-04]","[5.49674263e-05 8.00247971e-06 4.51034160e-05 3.12852286e-04
 2.10234776e-05 4.87335737e-07 1.05547450e-04 1.51090974e-05
 2.20782910e-04 1.20378710e-04]","[0.06970335 0.06792342 0.0750655  0.07827805 0.000469   0.00069039
 0.00138261 0.00135521 0.00250752 0.00131858]","[1.80079534e-02 1.51401744e-02 1.77147831e-02 2.07962115e-02
 1.24284598e-04 1.20301910e-06 1.00304236e-04 1.01032209e-04
 4.47893751e-04 1.23477044e-04]"
31,"[1.10522893e-03 1.15913566e-03 1.19152041e-03 1.26340152e-03
 4.88081851e-05 9.50879845e-05 1.11231583e-04 2.18446165e-04
 2.26744900e-04 1.16702353e-04]","[3.15885237e-05 2.97822974e-06 1.65131319e-05 5.59011960e-03
 1.51680029e-05 2.42341315e-06 4.78127103e-03 5.46568512e-06
 5.33503845e-03 4.99898025e-03]","[0.06968986 0.06791055 0.07505923 0.07773887 0.00046905 0.0006903
 0.0012639  0.00135575 0.00235589 0.00119283]","[1.85477101e-02 1.56550303e-02 1.79654715e-02 4.23634561e-02
 1.22543009e-04 4.64247971e-06 4.84887573e-03 7.94820957e-05
 6.51310071e-03 5.15359025e-03]"
32,"[9.99781234e-04 1.02929667e-03 1.09151375e-03 1.16214205e-03
 4.54470905e-05 8.89568527e-05 1.30363281e-04 2.03671783e-04
 2.38372875e-04 1.34314562e-04]","[1.01434891e-07 2.33152453e-10 1.48861031e-06 1.93796321e-04
 9.19418327e-08 8.12878487e-07 2.02765159e-04 1.45158366e-06
 1.94221685e-04 2.29254753e-04]","[0.06972142 0.06791582 0.07509133 0.07837574 0.00047082 0.00069028
 0.00138506 0.00135714 0.00251791 0.00132165]","[1.72851092e-02 1.54441605e-02 1.66814476e-02 1.68884974e-02
 5.18156534e-05 5.36463198e-06 2.30157496e-06 2.38353060e-05
 3.22762018e-05 6.38518094e-07]"
33,"[9.89789896e-04 1.02781780e-03 1.05428732e-03 1.14096985e-03
 4.96646272e-05 8.81917141e-05 1.26979732e-04 2.14710703e-04
 2.46182709e-04 1.29777121e-04]","[1.59667008e-05 2.18936625e-05 7.23780357e-07 1.19372078e-04
 4.66804561e-07 2.34894177e-05 2.22653801e-04 3.05789007e-05
 2.43510388e-04 1.01505628e-04]","[0.06968682 0.06788817 0.07508633 0.07837341 0.00047052 0.00068929
 0.00138412 0.0013577  0.00251865 0.00132167]","[1.86690103e-02 1.65504217e-02 1.68815855e-02 1.69819256e-02
 6.37784995e-05 4.49628064e-05 3.99407443e-05 1.64022607e-06
 2.77647308e-06 1.48658135e-07]"
34,"[9.62387262e-04 1.02234388e-03 1.01938246e-03 1.10123545e-03
 4.88379421e-05 8.90957576e-05 1.34690187e-04 2.15879008e-04
 2.52391808e-04 1.37193224e-04]","[4.63166083e-04 1.07604801e-03 1.30447305e-03 4.72580185e-04
 1.27280749e-04 2.13048934e-04 4.73566151e-08 1.09847094e-05
 1.22417878e-04 2.06743567e-04]","[0.0698317  0.06794484 0.07507868 0.07849395 0.0004712  0.00068264
 0.00138486 0.00135438 0.00251658 0.00131083]","[1.28738376e-02 1.42836735e-02 1.71874656e-02 1.21603858e-02
 3.66193061e-05 3.11100454e-04 1.01684179e-05 1.34250486e-04
 8.53810086e-05 4.33757083e-04]"
35,"[1.01332892e-03 1.05773508e-03 1.09965225e-03 1.19444914e-03
 4.43626321e-05 8.79921744e-05 1.36069783e-04 2.04022491e-04
 2.45477792e-04 1.30932733e-04]","[1.03311443e-05 1.02117565e-04 7.06389144e-04 1.85500487e-04
 1.77409968e-04 5.45865868e-04 1.08277482e-04 1.34566493e-03
 5.62884163e-04 1.67913028e-04]","[0.0698788  0.06813682 0.07507638 0.07850561 0.00045822 0.00067271
 0.00138484 0.00129478 0.00250066 0.00130808]","[1.09901836e-02 6.60409379e-03 1.72793567e-02 1.16936500e-02
 5.55474239e-04 7.08458843e-04 1.09105023e-05 2.51857349e-03
 7.22083207e-04 5.43532581e-04]"
36,"[1.06368888e-03 1.09040630e-03 1.15565335e-03 1.22819315e-03
 4.93703661e-05 9.22867576e-05 1.30797848e-04 2.21960046e-04
 2.55006410e-04 1.33125508e-04]","[5.59589914e-04 3.54392281e-04 3.80119503e-04 7.67457441e-06
 2.33322163e-05 1.72972747e-05 6.98331104e-04 4.50702830e-07
 4.66370450e-04 4.95817324e-04]","[0.0698788  0.06811576 0.07519845 0.07862573 0.00046352 0.00068936
 0.0013732  0.00134206 0.00251844 0.00130159]","[1.09901836e-02 7.44652116e-03 1.23966754e-02 6.88882092e-03
 3.43763078e-04 4.23317032e-05 4.76774015e-04 6.27358758e-04
 1.08524557e-05 8.03237069e-04]"
37,"[1.11496426e-03 1.12920719e-03 1.18348210e-03 1.28515763e-03
 5.37398304e-05 9.26845667e-05 1.23564200e-04 2.18243721e-04
 2.49792635e-04 1.24838339e-04]","[2.23734856e-03 1.96767744e-03 3.91546003e-03 2.22328470e-03
 8.65600337e-06 2.33265075e-04 2.21708912e-08 3.31790835e-04
 7.80202060e-06 2.37835518e-04]","[0.07004961 0.0681197  0.07525219 0.07869281 0.00046119 0.00065666
 0.00138511 0.00135146 0.00250819 0.00128859]","[4.15755319e-03 7.28912906e-03 1.02472011e-02 4.20600065e-03
 4.36697369e-04 1.35051610e-03 1.40321689e-07 2.51287914e-04
 4.21181623e-04 1.32312414e-03]"
38,"[1.08248249e-03 1.10657246e-03 1.14687025e-03 1.24536139e-03
 5.23901258e-05 9.14640678e-05 1.29764192e-04 2.22735761e-04
 2.56527009e-04 1.35641977e-04]","[2.31894954e-04 9.02688785e-05 1.21095298e-07 4.57673645e-04
 6.11527945e-04 2.42614424e-04 3.80098255e-05 8.37775199e-05
 9.54457894e-04 4.72683948e-04]","[0.07003195 0.06804973 0.07527987 0.07869482 0.00044856 0.0006737
 0.00138436 0.00135715 0.00248594 0.00129706]","[4.86408760e-03 1.00880347e-02 9.13987072e-03 4.12555148e-03
 9.42256572e-04 6.68722013e-04 3.03882633e-05 2.33921003e-05
 1.31107380e-03 9.84215875e-04]"
39,"[1.01595206e-03 1.04314621e-03 1.07421511e-03 1.15547356e-03
 5.31098455e-05 9.10958589e-05 1.26496022e-04 2.24055686e-04
 2.53912699e-04 1.20575949e-04]","[1.77087094e-03 1.14788215e-03 1.10447840e-05 6.22847396e-03
 6.72614501e-05 1.50220954e-03 1.35710927e-03 9.33732707e-04
 2.02862609e-03 5.71495359e-03]","[0.07014211 0.06828516 0.07539683 0.07879615 0.00047161 0.00063889
 0.00138097 0.00131592 0.00251116 0.00123674]","[4.57761433e-04 6.70593734e-04 4.46150721e-03 7.23887196e-05
 2.02541813e-05 2.06108325e-03 1.66080027e-04 1.67270286e-03
 3.02331019e-04 3.39729962e-03]"
