fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
23,[0.00397785 0.00393218 0.0040905  0.00387567 0.00438985],"[5.00280180e-04 4.52157955e-06 1.10796205e-05 8.70995379e-07
 1.08357462e-04]",[0.04545529 0.04283149 0.05658147 0.04748251 0.06154426],[0.03998313 0.02659282 0.03486005 0.03639003 0.04322766]
24,[0.0040701  0.00414238 0.00403246 0.004008   0.0041219 ],[0.06440831 0.0603142  0.06009178 0.03990918 0.1250645 ],[0.04465423 0.0418073  0.05539622 0.04764504 0.05917504],[0.07202556 0.06756061 0.08227011 0.02988898 0.13799665]
25,[0.00399865 0.0042028  0.00399461 0.00395092 0.00401448],[0.00827211 0.00027033 0.04190983 0.00201216 0.05020341],[0.04608051 0.04348758 0.05441743 0.04834753 0.05954305],[0.01497407 0.00034919 0.12142159 0.00178926 0.12327621]
26,[0.00407889 0.00400991 0.00442416 0.00393909 0.00452907],[0.00814741 0.05878205 0.00899884 0.0256475  0.00460568],[0.04643716 0.04260523 0.05396318 0.04811463 0.05948828],[0.00070803 0.03564347 0.13959169 0.01110551 0.12546688]
27,[0.00407473 0.0041564  0.00433552 0.00386598 0.00439819],[0.00880753 0.00628881 0.0101806  0.04185749 0.00424493],[0.04644173 0.04339343 0.0540679  0.04786374 0.05971267],[0.00052538 0.00411517 0.13540301 0.02114085 0.11649135]
28,[0.00392252 0.00403668 0.00410179 0.0039321  0.00417574],[0.01023458 0.01008882 0.01042026 0.00901106 0.00360684],[0.04627318 0.04338408 0.0572193  0.04826498 0.06219166],[0.00726762 0.00448951 0.00934671 0.0050915  0.01733161]
29,[0.00378679 0.0038468  0.00405783 0.00378606 0.00414093],[0.02011706 0.01319086 0.01057109 0.02175054 0.02151034],[0.04576865 0.04295408 0.05720801 0.04726316 0.0620555 ],[0.02744846 0.02168928 0.00979857 0.04516413 0.0227783 ]
30,[0.00376705 0.00386842 0.00384641 0.00391122 0.00406456],[0.0053296  0.00248469 0.00163189 0.00191121 0.00355037],[0.04625899 0.04342285 0.05733994 0.04836091 0.06239714],[0.0078352  0.00293837 0.0045212  0.00125411 0.00911268]
31,[0.00388655 0.00393401 0.00413894 0.00388518 0.00410129],[0.00184755 0.00151696 0.00426518 0.00014    0.00083062],[0.04407105 0.04155707 0.05434938 0.04657308 0.06102054],[0.09535249 0.07756964 0.12414364 0.07276729 0.06417672]
32,[0.00381983 0.00390682 0.00402241 0.00379207 0.00398373],"[8.07092757e-04 9.88038399e-04 1.24319923e-03 6.40060539e-03
 4.74745862e-05]",[0.04473513 0.04218301 0.05555019 0.0473151  0.06047284],[0.06878925 0.05253234 0.07611118 0.04308654 0.08608453]
33,[0.0038675  0.00391489 0.00412157 0.00380317 0.00402259],"[8.29817897e-04 4.01620239e-05 8.63926164e-04 2.44691308e-04
 1.79502017e-03]",[0.04396138 0.04173976 0.05452827 0.04646785 0.06010596],[0.09973932 0.07026217 0.11698819 0.0769764  0.10075989]
34,[0.00407538 0.00401564 0.00415966 0.00400043 0.00425041],[0.02026747 0.03665975 0.02333365 0.0164514  0.00010228],[0.04591264 0.04246182 0.05704911 0.04798856 0.06253271],[0.02168899 0.04137986 0.01615448 0.01614823 0.00368985]
35,[0.00389111 0.00398555 0.00403127 0.00397174 0.00425312],[0.08081328 0.06576639 0.07306012 0.04198314 0.0494446 ],[0.0437907  0.04131921 0.05540499 0.04618604 0.06050156],[0.10656662 0.08708427 0.08191924 0.08824874 0.08493566]
36,[0.00378734 0.00388879 0.0038275  0.00400395 0.00415402],[0.09507276 0.08102545 0.15005351 0.0477312  0.09522248],[0.04593905 0.04299004 0.05632911 0.04831421 0.0623041 ],[0.02063246 0.02025079 0.04495458 0.00312194 0.01283435]
37,[0.00387046 0.0039088  0.00397926 0.00381735 0.004111  ],[0.00370578 0.00312944 0.00210048 0.00119417 0.00037141],[0.04645447 0.04349496 0.05740011 0.04837765 0.06253628],"[1.58143446e-05 5.40282054e-05 2.11449004e-03 5.84500210e-04
 3.54693046e-03]"
38,[0.00402983 0.00409287 0.00410242 0.00410898 0.00423757],"[8.29573737e-04 5.68705016e-04 6.09935110e-04 1.40382889e-03
 8.15366856e-05]",[0.04631989 0.04336669 0.05741495 0.04821425 0.06261719],[0.00539917 0.00518486 0.00152071 0.00712056 0.00031055]
39,[0.00386638 0.00389095 0.00398886 0.00381923 0.00415832],"[1.20136498e-03 4.96072797e-03 7.21670228e-06 2.92631983e-03
 4.45447969e-03]",[0.04590167 0.04265389 0.05722262 0.0483135  0.06261723],[0.02212764 0.03369715 0.00921407 0.00315046 0.0003088 ]
