fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
22,[0.00043604 0.00064122 0.00046029 0.00060736 0.00117101],"[7.91661071e-04 3.22929683e-04 8.84720570e-04 1.38073016e-03
 5.29284412e-05]",[0.00414601 0.00807101 0.00411348 0.00545088 0.01242388],"[2.82088242e-05 3.86487182e-04 3.30584328e-05 9.53214099e-05
 6.62776153e-04]"
23,[0.00042022 0.00059411 0.00044705 0.00058164 0.00114436],"[1.72914203e-05 9.55006016e-05 6.86480460e-06 2.74302932e-04
 2.32083773e-04]",[0.00400525 0.00783813 0.00400148 0.00525254 0.01210402],[0.00565876 0.00970168 0.00451283 0.00802905 0.01345723]
24,[0.00042632 0.00057696 0.00045545 0.00055262 0.00112533],[0.00700176 0.00505344 0.00758213 0.01406976 0.00555233],[0.00402692 0.00804463 0.00395557 0.00508945 0.01242284],[0.00479204 0.00144143 0.00634947 0.01455255 0.00070446]
25,[0.00039589 0.00056857 0.00042478 0.0005245  0.00114947],"[7.69127037e-04 3.99873512e-04 3.71504398e-06 4.01766642e-03
 3.59623155e-03]",[0.00410422 0.00806112 0.00411348 0.00526841 0.01200339],"[1.69985329e-03 7.82019758e-04 3.27956467e-05 7.39408958e-03
 1.74826658e-02]"
26,[0.00044126 0.00059838 0.00046132 0.00061978 0.00120846],"[8.76862694e-05 1.00235388e-03 1.00860531e-03 9.89940546e-04
 2.01704243e-03]",[0.00413909 0.00807614 0.00409404 0.00533648 0.01200929],[0.00030496 0.00018112 0.00081048 0.0046714  0.01724651]
27,[0.00044542 0.00061208 0.00046783 0.00057686 0.00120875],[0.00027728 0.00217414 0.0004479  0.00213276 0.00533566],[0.00414225 0.00798351 0.00406429 0.00537709 0.01202888],[0.00017863 0.00388623 0.00200066 0.00304695 0.01646305]
28,[0.0003995  0.00057185 0.00042542 0.00052016 0.00111856],[0.00013655 0.00324401 0.00053169 0.00107189 0.00433983],[0.00413329 0.00790053 0.00407301 0.00540074 0.01227291],[0.00053708 0.00720554 0.00165179 0.00210091 0.00670179]
29,[0.00041611 0.00059918 0.00043405 0.00052733 0.00115305],[0.00520906 0.00705263 0.00612283 0.00610014 0.0126548 ],[0.00406555 0.00790244 0.00402969 0.00541414 0.01216142],[0.00324677 0.00712906 0.00338455 0.00156503 0.01116117]
30,[0.00041619 0.0006181  0.0004543  0.00053732 0.00111558],[0.00392457 0.00143889 0.00217219 0.00428434 0.01928995],[0.00414429 0.00803814 0.00411185 0.00545065 0.01229482],"[9.70580997e-05 1.70128492e-03 9.80783976e-05 1.04821161e-04
 5.82517287e-03]"
31,[0.00043819 0.00062833 0.00047575 0.0005893  0.00105744],"[4.00340066e-04 4.53207903e-05 2.13999821e-04 7.39952938e-04
 1.72592853e-02]",[0.00408952 0.00791775 0.00406413 0.00543047 0.01244045],"[2.28783544e-03 6.51697102e-03 2.00693128e-03 9.11917545e-04
 1.23259516e-32]"
32,[0.00041315 0.0005953  0.00045852 0.00057608 0.00110339],"[2.30355357e-03 5.88565614e-03 1.87555536e-03 2.64774631e-03
 1.72910515e-07]",[0.00414268 0.0080802  0.00411301 0.00544863 0.01207333],"[1.61398982e-04 1.87974201e-05 5.18743148e-05 1.85435996e-04
 1.46849483e-02]"
33,[0.00041714 0.00062941 0.00045736 0.00056928 0.00104077],"[1.99659526e-03 6.79051257e-04 1.79696515e-03 7.49142543e-05
 9.43547947e-03]",[0.00401206 0.00799851 0.0040144  0.00543704 0.0115632 ],[0.00538624 0.00328624 0.00399594 0.00064912 0.03509034]
34,[0.00039942 0.00058036 0.00043313 0.00052909 0.00106058],[0.00393784 0.00587722 0.00533898 0.00483115 0.00655372],[0.00402567 0.00789055 0.00395177 0.00531795 0.01211676],[0.00484198 0.00760479 0.00650118 0.00541272 0.01294758]
35,[0.00039738 0.00058666 0.00042341 0.00050872 0.001036  ],[0.01189287 0.01239071 0.01340659 0.01801819 0.02278663],[0.00393775 0.0077992  0.00391094 0.00522121 0.01195802],[0.00835887 0.01125864 0.00813454 0.00928235 0.01929752]
36,[0.00036634 0.00055239 0.00040151 0.00049072 0.00106263],[0.01190706 0.00885713 0.01237051 0.02127567 0.01453433],[0.00398579 0.00799812 0.00390232 0.00507962 0.01236024],[0.00643717 0.00330188 0.00847926 0.01494583 0.00320856]
37,[0.00038486 0.00058532 0.00040817 0.00051554 0.00105659],[0.00660081 0.00574605 0.00582162 0.0080611  0.00328406],[0.00373011 0.00746962 0.0037324  0.00489573 0.01225057],[0.01666416 0.02444189 0.01527617 0.02230151 0.0075954 ]
38,[0.00040806 0.00058048 0.00043058 0.00051932 0.00112793],[0.00233905 0.00181251 0.00166981 0.00313291 0.00030249],[0.0040864  0.00805235 0.00406509 0.0053428  0.01244022],"[2.41264049e-03 1.13265136e-03 1.96841718e-03 4.41853564e-03
 9.16132300e-06]"
39,[0.00039227 0.00056459 0.00041754 0.00053635 0.00103048],[0.0020748  0.00032802 0.00265307 0.00114601 0.02188978],[0.00411737 0.0080806  0.00405594 0.00543535 0.01225356],"[1.17381744e-03 2.61703231e-06 2.33462160e-03 7.16551490e-04
 7.47584928e-03]"
