DATASET,RFPCT,PSt,RFDTBR,EBRJ48,TREMLC,VBS,VBS_value,SBS_RFPCT,SBS_PSt,SBS_RFDTBR,SBS_EBRJ48,SBS_TREMLC,AS-R-MO,AS-R-MO_algo_name,AS-R-SO,AS-R-SO_algo_name,AS-C-SO,AS-C-SO_algo_name,AS-PR-MO,AS-PR-MO_algo_name,AS-PR-SO,AS-PR-SO_algo_name,AS-PC-MO,AS-PC-MO_algo_name,AS-PC-SO,AS-PC-SO_algo_name,AS-CS-PC-SO,AS-CS-PC-SO_algo_name
GENBASE,0.9878516960103874,0.980725976614678,0.9884722693955464,0.9802253855837756,0.9882779777282305,['RFDTBR'],0.9884722693955464,0.0006205733851590844,0.007746292780868469,0.0,0.008246883811770855,0.00019429166731599334,0.008246883811770855,EBRJ48,0.008246883811770855,EBRJ48,0.00019429166731599334,TREMLC,0.00019429166731599334,TREMLC,0.008246883811770855,EBRJ48,0.0006205733851590844,RFPCT,0.00422058773954348,"EBRJ48,TREMLC",0.00019429166731599334,TREMLC
GNEGATIVEGO,0.9960409395126464,0.9940971537075556,0.995346429923109,0.993919887170496,0.9882779777282305,['RFPCT'],0.9960409395126464,0.0,0.001943785805090803,0.0006945095895374287,0.0021210523421504313,0.007762961784415934,0.001943785805090803,PSt,0.001943785805090803,PSt,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT
GNEGATIVEPSEACC,0.9365945416139664,0.935793283927295,0.9228285657907932,0.8965242172614908,0.9268290316006716,['RFPCT'],0.9365945416139664,0.0,0.0008012576866713861,0.013765975823173182,0.040070324352475595,0.009765510013294731,0.0,RFPCT,0.0008012576866713861,PSt,0.0,RFPCT,0.0008012576866713861,PSt,0.0008012576866713861,PSt,0.0,RFPCT,0.0008012576866713861,PSt,0.0008012576866713861,PSt
GPOSITIVEGO,0.993852018596654,0.9893499089397416,0.9908147913532346,0.9885354569415066,0.7508003122065994,['RFPCT'],0.993852018596654,0.0,0.004502109656912334,0.0030372272434193714,0.005316561655147378,0.24305170639005458,0.0,RFPCT,0.0030372272434193714,RFDTBR,0.004502109656912334,PSt,0.004502109656912334,PSt,0.004502109656912334,PSt,0.0,RFPCT,0.004502109656912334,PSt,0.004502109656912334,PSt
GPOSITIVEPSEAAC,0.8667296358720858,0.8837652568351753,0.8554687058131512,0.8341063086094361,0.6219359071524722,['PSt'],0.8837652568351753,0.017035620963089415,0.0,0.028296551022024108,0.04965894822573913,0.2618293496827031,0.017035620963089415,RFPCT,0.017035620963089415,RFPCT,0.017035620963089415,RFPCT,0.017035620963089415,RFPCT,0.017035620963089415,RFPCT,0.017035620963089415,RFPCT,0.017035620963089415,RFPCT,0.017035620963089415,RFPCT
HUMANGO,0.9834920622938534,0.9797070174272506,0.9780054520971792,0.9791282286863884,0.9795771538026083,['RFPCT'],0.9834920622938534,0.0,0.0037850448666028047,0.005486610196674291,0.004363833607465062,0.003914908491245095,0.0,RFPCT,0.004363833607465062,EBRJ48,0.0,RFPCT,0.004363833607465062,EBRJ48,0.0037850448666028047,PSt,0.0,RFPCT,0.0018925224333014024,"RFPCT,PSt",0.002716292824689215,"RFPCT,EBRJ48,PSt"
HUMANPSEAAC,0.8547545407967856,0.8483348956417832,0.8355873095218889,0.8110134973086565,0.8368868093934007,['RFPCT'],0.8547545407967856,0.0,0.006419645155002374,0.019167231274896723,0.04374104348812913,0.017867731403384934,0.0,RFPCT,0.006419645155002374,PSt,0.006419645155002374,PSt,0.0,RFPCT,0.006419645155002374,PSt,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT
LANGLOG,0.8421410666666667,0.8241785777777777,0.8424700148148148,0.8062010518518519,0.6978026814814815,['RFDTBR'],0.8424700148148148,0.00032894814814810047,0.01829143703703706,0.0,0.03626896296296289,0.14466733333333326,0.00032894814814810047,RFPCT,0.03626896296296289,EBRJ48,0.01829143703703706,PSt,0.00032894814814810047,RFPCT,0.018134481481481446,"EBRJ48,RFDTBR",0.0,RFDTBR,0.03626896296296289,EBRJ48,0.03626896296296289,EBRJ48
MEDICAL,0.9739998005596566,0.9485203280283834,0.9744138228064316,0.9532751856650928,0.936397495616595,['RFDTBR'],0.9744138228064316,0.0004140222467750032,0.025893494778048254,0.0,0.02113863714133879,0.03801632718983661,0.0004140222467750032,RFPCT,0.03801632718983661,TREMLC,0.0,RFDTBR,0.0004140222467750032,RFPCT,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR
NG20,0.9490105163372096,0.9510572370337698,0.9468612598255643,0.9267498804499252,0.9242936564891104,['PSt'],0.9510572370337698,0.0020467206965602003,0.0,0.004195977208205415,0.02430735658384453,0.026763580544659327,0.0020467206965602003,RFPCT,0.0,PSt,0.0,PSt,0.0,PSt,0.0,PSt,0.0020467206965602003,RFPCT,0.0,PSt,0.0,PSt
