DATASET,RFDTBR,RFPCT,Ada300,CLR,PSt,VBS,VBS_value,SBS_RFDTBR,SBS_RFPCT,SBS_Ada300,SBS_CLR,SBS_PSt,AS-R-MO,AS-R-MO_algo_name,AS-R-SO,AS-R-SO_algo_name,AS-C-SO,AS-C-SO_algo_name,AS-PR-MO,AS-PR-MO_algo_name,AS-PR-SO,AS-PR-SO_algo_name,AS-PC-MO,AS-PC-MO_algo_name,AS-PC-SO,AS-PC-SO_algo_name,AS-CS-PC-SO,AS-CS-PC-SO_algo_name
GNEGATIVEGO,0.9448491155046826,0.9532710280373832,0.94238683127572,0.9453044375644992,0.95010395010395,['RFPCT'],0.9532710280373832,0.008421912532700526,0.0,0.01088419676166319,0.00796659047288395,0.0031670779334331822,0.0,RFPCT,0.01088419676166319,Ada300,0.0031670779334331822,PSt,0.01088419676166319,Ada300,0.01088419676166319,Ada300,0.0031670779334331822,PSt,0.0031670779334331822,PSt,0.004683758231698754,"RFPCT,Ada300,PSt"
GNEGATIVEPSEACC,0.658682634730539,0.6506506506506506,0.6412776412776413,0.5402985074626865,0.6652806652806653,['PSt'],0.6652806652806653,0.00659803055012631,0.014630014630014676,0.02400302400302401,0.12498215781797883,0.0,0.0,PSt,0.0,PSt,0.0,PSt,0.0,PSt,0.0,PSt,0.0,PSt,0.0,PSt,0.0,PSt
GPOSITIVEGO,0.9127906976744188,0.9159420289855073,0.9565217391304348,0.9011627906976746,0.9360465116279072,['Ada300'],0.9565217391304348,0.04373104145601603,0.04057971014492756,0.0,0.055358948432760235,0.020475227502527615,0.04057971014492756,RFPCT,0.04373104145601603,RFDTBR,0.04057971014492756,RFPCT,0.04057971014492756,RFPCT,0.04057971014492756,RFPCT,0.04057971014492756,RFPCT,0.034928659701156994,"RFDTBR,PSt,RFPCT",0.020475227502527615,PSt
GPOSITIVEPSEAAC,0.6706586826347305,0.6568047337278107,0.6504065040650406,0.6453333333333333,0.7151162790697675,['PSt'],0.7151162790697675,0.044457596435036995,0.058311545341956816,0.06470977500472685,0.06978294573643418,0.0,0.058311545341956816,RFPCT,0.06470977500472685,Ada300,0.06470977500472685,Ada300,0.0,PSt,0.0,PSt,0.041007106782227964,"RFPCT,Ada300,PSt",0.041007106782227964,"RFPCT,Ada300,PSt",0.0,PSt
HUMANGO,0.7722772277227723,0.779647107098892,0.7277375372816361,0.7911366434140336,0.7821043910521955,['CLR'],0.7911366434140336,0.01885941569126126,0.011489536315141602,0.06339910613239741,0.0,0.009032252361838022,0.011489536315141602,RFPCT,0.011489536315141602,RFPCT,0.01885941569126126,RFDTBR,0.011489536315141602,RFPCT,0.011489536315141602,RFPCT,0.011489536315141602,RFPCT,0.01885941569126126,RFDTBR,0.031249352712933387,"RFDTBR,Ada300,RFPCT"
HUMANPSEAAC,0.4318181818181818,0.4189690721649484,0.3049685893774985,0.364963503649635,0.4283347141673571,['RFDTBR'],0.4318181818181818,0.0,0.012849109653233437,0.12684959244068333,0.06685467816854684,0.0034834676508247453,0.0,RFDTBR,0.012849109653233437,RFPCT,0.0034834676508247453,PSt,0.0034834676508247453,PSt,0.0034834676508247453,PSt,0.0034834676508247453,PSt,0.0034834676508247453,PSt,0.0034834676508247453,PSt
LANGLOG,0.2711198428290766,0.2188006482982172,0.2191780821917808,0.2056194125159642,0.2620689655172413,['RFDTBR'],0.2711198428290766,0.0,0.0523191945308594,0.051941760637295775,0.0655004303131124,0.009050877311835293,0.0,RFDTBR,0.0523191945308594,RFPCT,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR
MEDICAL,0.7934990439770554,0.7864534336782691,0.8127939793038571,0.6795965865011637,0.75,['Ada300'],0.8127939793038571,0.01929493532680171,0.026340545625587963,0.0,0.13319739280269338,0.0627939793038571,0.026340545625587963,RFPCT,0.01929493532680171,RFDTBR,0.01929493532680171,RFDTBR,0.01929493532680171,RFDTBR,0.01929493532680171,RFDTBR,0.01929493532680171,RFDTBR,0.01929493532680171,RFDTBR,0.01929493532680171,RFDTBR
NG20,0.6984263057987876,0.6748340990301174,0.6670056661339532,0.5975299330630717,0.6588913970403811,['RFDTBR'],0.6984263057987876,0.0,0.023592206768670243,0.03142063966483444,0.10089637273571594,0.039534908758406484,0.023592206768670243,RFPCT,0.039534908758406484,PSt,0.0,RFDTBR,0.0,RFDTBR,0.021042371842358798,"RFDTBR,PSt,RFPCT",0.039534908758406484,PSt,0.039534908758406484,PSt,0.031563557763538364,"RFPCT,PSt"
OHSUMED,0.5675150879034375,0.5525126019851374,0.4378772112382934,0.5258805673313445,0.5285514571459297,['RFDTBR'],0.5675150879034375,0.0,0.015002485918300112,0.12963787666514415,0.04163452057209305,0.03896363075750786,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR
