DATASET,RFPCT_vs_PSt,RFPCT_vs_PSt_cost,RFPCT_vs_RFDTBR,RFPCT_vs_RFDTBR_cost,RFPCT_vs_EBRJ48,RFPCT_vs_EBRJ48_cost,RFPCT_vs_TREMLC,RFPCT_vs_TREMLC_cost,PSt_vs_RFDTBR,PSt_vs_RFDTBR_cost,PSt_vs_EBRJ48,PSt_vs_EBRJ48_cost,PSt_vs_TREMLC,PSt_vs_TREMLC_cost,RFDTBR_vs_EBRJ48,RFDTBR_vs_EBRJ48_cost,RFDTBR_vs_TREMLC,RFDTBR_vs_TREMLC_cost,EBRJ48_vs_TREMLC,EBRJ48_vs_TREMLC_cost
ABPM,0,0.027142015992706603,1,0.010560504473019372,1,0.01804402742692157,1,0.01807251799654297,1,0.037702520465725975,1,0.045186043419628175,1,0.04521453398924957,1,0.0074835229539022,1,0.007512013523523597,1,2.8490569621397732e-05
ARABIC200,1,0.0225343867192922,1,0.011183956731065425,1,0.015953492274615844,0,0.04051350762516259,0,0.011350429988226773,0,0.006580894444676355,0,0.06304789434445479,1,0.004769535543550418,0,0.05169746435622802,0,0.056466999899778436
BIBTEX,0,0.004807249436813543,1,0.0027781402528438415,0,0.011442765724611559,0,0.14893436957167483,1,0.007585389689657385,0,0.006635516287798016,0,0.1441271201348613,0,0.0142209059774554,0,0.15171250982451867,0,0.13749160384706327
BIRDS,0,0.07094407265774383,0,0.015906856050259433,0,0.04278475826276973,0,0.03359464627151054,1,0.055037216607484396,1,0.0281593143949741,1,0.037349426386233286,0,0.026877902212510296,0,0.01768779022125111,1,0.009190111991259187
CAL500,0,0.017676151909223003,0,0.012922587695876842,0,0.04427443361358663,0,0.08759245599268006,1,0.004753564213346162,0,0.026598281704363624,0,0.06991630408345706,0,0.031351845917709786,0,0.07466986829680322,0,0.043318022379093435
CHD_49,0,0.0290371897044418,1,0.0016982993277987468,0,0.012266060115050492,1,0.00601862366568251,1,0.03073548903224055,1,0.01677112958939131,1,0.03505581337012431,0,0.013964359442849239,1,0.004320324337883763,1,0.018284683780733002
COREL5K,0,0.045656955075210726,1,0.021120425392177178,1,0.05322296100157142,0,0.20921975230834222,1,0.0667773804673879,1,0.09887991607678215,0,0.1635627972331315,1,0.032102535609394245,0,0.2303401777005194,0,0.26244271330991364
DELICIOUS,0,0.23789110361281984,1,0.06208063747100234,1,0.08198868903049139,0,0.1322234449445765,1,0.2999717410838222,1,0.31987979264331123,1,0.10566765866824335,1,0.01990805155948905,0,0.19430408241557884,0,0.2142121339750679
EMOTIONS,0,0.030972918359568946,0,0.004012627551937764,0,0.038736597608244105,0,0.00043146532816551453,1,0.026960290807631182,0,0.007763679248675159,1,0.03054145303140343,0,0.03472397005630634,1,0.0035811622237722496,1,0.03830513228007859
ENRON,0,0.026226992875381216,0,0.0029772674275360123,0,0.00688588189413164,0,0.04943292142299793,1,0.023249725447845204,1,0.019341110981249576,0,0.023205928547616717,0,0.003908614466595628,0,0.04645565399546192,0,0.04254703952886629
FLAGS,0,0.09757965996449802,0,0.016887035049709453,0,0.0468139388908011,0,0.0161311006270205,1,0.08069262491478857,1,0.05076572107369692,1,0.08144855933747752,0,0.029926903841091645,1,0.0007559344226889531,1,0.0306828382637806
FOODTRUCK,0,0.012354603264370656,0,0.007111710190900067,0,0.03574458223752053,1,0.0010375230413032233,1,0.005242893073470589,0,0.023389978973149872,1,0.01339212630567388,0,0.02863287204662046,1,0.00814923323220329,1,0.03678210527882375
GENBASE,0,0.0071257193957093845,1,0.0006205733851590844,0,0.007626310426611771,1,0.0004262817178430911,1,0.007746292780868469,0,0.0005005910309023864,1,0.007552001113552476,0,0.008246883811770855,0,0.00019429166731599334,1,0.008052592144454862
GNEGATIVEGO,0,0.001943785805090803,0,0.0006945095895374287,0,0.0021210523421504313,0,0.007762961784415934,1,0.0012492762155533743,0,0.00017726653705962825,0,0.005819175979325131,0,0.0014265427526130026,0,0.007068452194878505,0,0.0056419094422655025
GNEGATIVEPSEACC,0,0.0008012576866713861,0,0.013765975823173182,0,0.040070324352475595,0,0.009765510013294731,0,0.012964718136501796,0,0.03926906666580421,0,0.008964252326623345,0,0.026304348529302413,1,0.004000465809878451,1,0.030304814339180863
