fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
10,"[0.0012248  0.00098439 0.00124152 0.00190866 0.00149356 0.00140058
 0.00091158 0.00052723 0.0029055  0.00279104]","[1.26339964e-03 5.85581088e-03 2.53557645e-02 1.19742696e-03
 1.67927325e-03 1.52993649e-02 8.84494842e-07 6.84121950e-03
 1.75723715e-03 1.55329055e-02]","[0.01579567 0.0066434  0.00966738 0.02471599 0.01415982 0.01396525
 0.00612407 0.00492081 0.02552323 0.02717423]","[5.13647541e-03 1.38876609e-02 1.63092464e-02 5.55307842e-03
 2.13228870e-03 3.14030807e-03 8.12120063e-06 9.72539154e-05
 1.87722370e-03 2.82903564e-03]"
11,"[0.00130574 0.00105312 0.00135805 0.00167094 0.00148506 0.0015812
 0.00072242 0.00056913 0.00262825 0.00276331]","[3.03286053e-02 1.55790886e-05 4.89366607e-03 1.58282017e-01
 3.17189455e-02 1.08568806e-02 5.00397331e-02 5.46147285e-03
 1.61438226e-01 1.07513152e-01]","[0.01585981 0.00698398 0.00988188 0.02399632 0.01410101 0.01400914
 0.00567132 0.00465189 0.02455437 0.02700783]","[0.00257102 0.00026451 0.00772953 0.03433955 0.00448485 0.00138477
 0.01811827 0.01085379 0.04063173 0.00948513]"
12,"[0.00147129 0.0008536  0.00122488 0.00238826 0.00084042 0.00101695
 0.00097049 0.0005879  0.00215028 0.0023133 ]","[0.0331018  0.04712548 0.03881735 0.12563509 0.1592194  0.14361083
 0.02976018 0.00040252 0.32665162 0.30412092]","[0.01557571 0.00651125 0.00948724 0.02466784 0.0142027  0.0140126
 0.00609936 0.00491771 0.02550259 0.02713318]","[0.0139349  0.01917356 0.02351488 0.00747885 0.00041708 0.00124605
 0.0009964  0.00022133 0.00270278 0.00447097]"
13,"[0.00141677 0.00096905 0.0013287  0.00208405 0.00117843 0.00129343
 0.00088627 0.00063234 0.00243069 0.002544  ]","[2.77250998e-04 1.87929409e-05 9.58708015e-04 5.63372114e-05
 1.51678270e-04 2.26708026e-03 5.83544591e-04 1.24595537e-03
 1.40206781e-04 5.50240166e-04]","[0.01591968 0.00696747 0.0100478  0.02484468 0.01416543 0.01403397
 0.0061231  0.00482256 0.0255063  0.02724078]","[1.76130646e-04 9.24724233e-04 1.09241441e-03 4.05283792e-04
 1.90800363e-03 3.91259114e-04 4.70628829e-05 4.02729493e-03
 2.55438663e-03 1.66927215e-04]"
14,"[0.00122243 0.0009454  0.00125993 0.00202436 0.00122436 0.00122315
 0.00092677 0.00056706 0.00263846 0.00251722]","[1.35068144e-03 4.18452281e-06 1.62695301e-02 3.57536709e-04
 1.20450696e-03 8.24472173e-03 3.09806447e-03 1.57518709e-02
 4.39080667e-04 2.14507394e-02]","[0.01583948 0.00690014 0.01001856 0.02454104 0.01421303 0.01376426
 0.00605175 0.00463318 0.02550287 0.0266082 ]","[3.38387129e-03 3.61810777e-03 2.26221776e-03 1.25509610e-02
 3.91904114e-06 1.11796426e-02 2.90090173e-03 1.16021950e-02
 2.69157206e-03 2.54701966e-02]"
15,"[0.00124181 0.0009689  0.0013685  0.00204816 0.00113414 0.00109551
 0.0007976  0.00065254 0.0026106  0.00268726]","[2.43593606e-02 2.43014326e-04 2.47927571e-05 9.06978278e-04
 1.97362991e-02 2.59384194e-02 3.46670646e-02 4.23048768e-04
 2.08894674e-03 6.31861101e-04]","[0.0153344  0.00697203 0.00989696 0.02477285 0.01381413 0.01392416
 0.00501292 0.00484153 0.02539162 0.02674314]","[0.02358739 0.00074248 0.00712637 0.00327863 0.01596015 0.00478366
 0.044454   0.00326835 0.00714155 0.02007242]"
16,"[0.00132469 0.00095468 0.00127742 0.00206848 0.00124055 0.00112841
 0.00096426 0.00059081 0.00266046 0.00259374]","[1.57740812e-03 5.39249639e-06 1.04845696e-02 1.36370519e-03
 1.76725839e-03 2.01954752e-02 7.77416121e-06 1.00144077e-02
 1.54060600e-03 1.94107776e-02]","[0.01585127 0.00698096 0.00976965 0.02458786 0.01418365 0.01336721
 0.00606335 0.00449965 0.025395   0.02610141]","[0.00291241 0.0003853  0.01221875 0.01067802 0.00117907 0.02706195
 0.00243718 0.0169436  0.00700659 0.04574164]"
17,"[0.00128715 0.0008935  0.0013011  0.00179964 0.00107958 0.00113934
 0.00081039 0.00058466 0.00224259 0.00226241]","[8.14296131e-03 9.98562019e-03 1.76648442e-03 2.03329972e-02
 9.38906108e-05 2.32408765e-03 2.74109426e-03 3.35223734e-03
 1.82036570e-03 1.01131690e-02]","[0.0158217  0.00663808 0.01003531 0.0245693  0.01413819 0.01402924
 0.00607832 0.00476783 0.02556663 0.02713284]","[0.00409526 0.01410028 0.00159215 0.01142064 0.00299761 0.00058044
 0.00183811 0.0062162  0.00014107 0.0044844 ]"
18,"[0.00133336 0.00100262 0.00131487 0.00199331 0.00115829 0.00120702
 0.00092319 0.00060991 0.00245271 0.00248206]","[1.24453540e-03 2.99287224e-06 7.07590540e-04 3.15178653e-05
 1.36958949e-03 7.52972573e-05 8.79946717e-04 8.02620971e-04
 5.39353553e-05 4.40433041e-04]","[0.01565775 0.00694933 0.0100254  0.02468082 0.01411518 0.01395785
 0.00611448 0.00492284 0.02552436 0.02720726]","[1.06533881e-02 1.65019440e-03 1.98871204e-03 6.95978690e-03
 3.91784187e-03 3.43633644e-03 3.91640688e-04 1.57799057e-05
 1.83207562e-03 1.50779682e-03]"
19,"[0.00129629 0.00098319 0.00132672 0.00201079 0.00120786 0.00120614
 0.00088119 0.00059315 0.00256675 0.00255346]","[2.12471399e-03 4.38714741e-04 7.05749608e-04 1.72035170e-06
 6.32477309e-04 3.81369017e-04 2.00551692e-03 3.15892320e-05
 3.85489896e-04 6.37781007e-04]","[0.01591    0.00699019 0.01007204 0.02484721 0.01420341 0.01401344
 0.00612328 0.00491754 0.02556565 0.0272246 ]","[5.63099048e-04 1.60730792e-05 1.23041084e-04 3.04084224e-04
 3.88901419e-04 1.21257842e-03 3.95854541e-05 2.28055697e-04
 1.80334990e-04 8.13983693e-04]"
20,"[0.00125979 0.00092768 0.0013637  0.00202266 0.00115542 0.00126255
 0.0008557  0.00063274 0.00249401 0.00256361]","[3.10659612e-03 2.60788357e-06 5.28544311e-04 2.54384357e-05
 2.92918578e-03 1.07235000e-03 3.69426919e-03 4.56899060e-04
 4.43362522e-05 7.85890837e-04]","[0.01585427 0.0069895  0.01003634 0.02482864 0.01415963 0.01403922
 0.00594279 0.00489634 0.02553225 0.02711628]","[2.79260687e-03 4.33629541e-05 1.55112780e-03 1.04699722e-03
 2.13999372e-03 1.81192105e-04 7.25945883e-03 1.07579437e-03
 1.51650987e-03 5.14687097e-03]"
21,"[0.00124177 0.00087398 0.00133653 0.00185325 0.00114921 0.00123872
 0.00085628 0.00063745 0.00242157 0.00251198]","[6.08337114e-03 1.09962483e-02 6.46743318e-03 2.50797484e-02
 7.21837261e-04 5.87763910e-06 6.45932081e-03 5.97442894e-04
 2.86255717e-03 6.07550341e-03]","[0.01586879 0.00674128 0.00990862 0.0244955  0.01414334 0.01401386
 0.00599157 0.00491491 0.02556014 0.02720832]","[0.00221154 0.0099723  0.00665965 0.0143723  0.00279147 0.00119575
 0.00530821 0.00033324 0.00040092 0.00146519]"
22,"[0.00120141 0.00088422 0.00131086 0.00200039 0.0011514  0.00119781
 0.00088278 0.00064404 0.00245609 0.00251306]","[7.03896480e-03 8.18923429e-04 9.54221535e-04 7.66992274e-04
 3.05606641e-03 2.80985467e-03 3.15887988e-03 5.16943081e-06
 8.50476528e-07 1.02134641e-05]","[0.01559566 0.00696931 0.01006108 0.02478875 0.01403061 0.01383709
 0.00602438 0.00492249 0.0255578  0.02722576]","[1.31367647e-02 8.50995306e-04 5.61401979e-04 2.64234061e-03
 7.30066043e-03 8.26677430e-03 3.99575995e-03 3.00073994e-05
 4.94256420e-04 7.67831878e-04]"
23,"[0.00144454 0.00097145 0.00138016 0.00223283 0.00111659 0.00121949
 0.00090478 0.00062685 0.00242858 0.00258232]","[2.18892570e-08 1.02839509e-05 2.57456941e-06 2.52466136e-03
 1.12547512e-05 3.07124456e-06 2.53955106e-03 2.56740853e-06
 2.21268148e-03 2.36599181e-03]","[0.01591992 0.00693484 0.01000482 0.02485479 0.01412276 0.01393509
 0.00611951 0.0049224  0.02551652 0.02717702]","[1.66475233e-04 2.22981509e-03 2.81182821e-03 8.06901974e-07
 3.61482877e-03 4.34665977e-03 1.90462229e-04 3.37068094e-05
 2.14578704e-03 2.71736981e-03]"
24,"[0.0013206  0.00098451 0.00114092 0.00219958 0.00120112 0.00118582
 0.00091294 0.00052874 0.00260604 0.00250207]","[9.59129573e-03 4.44667748e-03 4.22788465e-02 8.88042458e-03
 9.76671788e-04 1.15956381e-02 1.36837563e-05 1.93028768e-02
 7.59145348e-04 1.24059947e-02]","[0.01523566 0.00668627 0.00893586 0.02420058 0.01413582 0.01398728
 0.00612384 0.00465729 0.02550401 0.02717813]","[2.75366988e-02 1.21729213e-02 4.55700632e-02 2.61693124e-02
 3.09257122e-03 2.25906326e-03 1.74100493e-05 1.06379618e-02
 2.64590447e-03 2.67311119e-03]"
25,"[0.00124976 0.00099679 0.00123018 0.00213505 0.00123819 0.00118695
 0.00088219 0.00062699 0.00258653 0.00247166]","[4.51066137e-02 5.28219678e-03 4.39840675e-03 7.56308695e-02
 8.12602866e-02 7.76757311e-02 3.92220313e-03 4.04271884e-05
 1.20887915e-01 1.16506959e-01]","[0.01307338 0.00683508 0.00997032 0.019525   0.00987529 0.00999511
 0.00573958 0.00491825 0.01826404 0.02031563]","[1.14028081e-01 6.22032302e-03 4.19187079e-03 2.13192473e-01
 1.73513459e-01 1.61945962e-01 1.53877232e-02 1.99497718e-04
 2.92244824e-01 2.77173149e-01]"
26,"[0.00133924 0.00087888 0.00127719 0.00216816 0.00109961 0.00136303
 0.00085735 0.00056276 0.00227542 0.00273647]","[2.56058531e-02 1.21497249e-02 1.80097628e-05 7.76219029e-02
 7.30318629e-02 2.42656944e-02 1.40633002e-02 1.31032851e-02
 1.51190998e-01 7.52752122e-02]","[0.01287463 0.00661339 0.01006002 0.01727122 0.00864149 0.01055015
 0.00510909 0.00468185 0.01422677 0.01896965]","[0.12197816 0.01508789 0.00060369 0.30334357 0.22286565 0.13974426
 0.04060734 0.00965555 0.45373578 0.33101206]"
27,"[0.00128953 0.00096469 0.00123617 0.00205612 0.00134077 0.00133569
 0.0008096  0.00054485 0.00263715 0.00254184]","[0.00025431 0.00424252 0.02085159 0.01146464 0.00657423 0.01650037
 0.01513394 0.04390509 0.00175883 0.06323909]","[0.01499825 0.00697661 0.00973282 0.02080531 0.01350087 0.01164974
 0.00502149 0.0044286  0.02198258 0.02049849]","[0.0370334  0.00055929 0.01369165 0.16198019 0.02849055 0.09576053
 0.04411133 0.01978539 0.14350339 0.26985841]"
28,"[0.00143324 0.00096411 0.001282   0.00226176 0.001366   0.0013721
 0.00091508 0.00059981 0.00266331 0.00281439]","[6.82676695e-05 4.86688649e-04 1.72049368e-03 2.13908482e-05
 9.19511389e-04 2.47419287e-03 1.66086349e-04 3.77051463e-04
 3.04013988e-04 1.35820331e-03]","[0.01589487 0.00698082 0.01004935 0.0248291  0.01414036 0.01393391
 0.00612416 0.00491943 0.02550298 0.027142  ]","[1.16863241e-03 3.90725363e-04 1.03052319e-03 1.02847981e-03
 2.91082264e-03 4.39397023e-03 4.47468624e-06 1.52151951e-04
 2.68704293e-03 4.11800498e-03]"
