DATASET,CLR,Ada300,RFDTBR,CC,RSMLCC,VBS,VBS_value,SBS_CLR,SBS_Ada300,SBS_RFDTBR,SBS_CC,SBS_RSMLCC,AS-R-MO,AS-R-MO_algo_name,AS-R-SO,AS-R-SO_algo_name,AS-C-SO,AS-C-SO_algo_name,AS-PR-MO,AS-PR-MO_algo_name,AS-PR-SO,AS-PR-SO_algo_name,AS-PC-MO,AS-PC-MO_algo_name,AS-PC-SO,AS-PC-SO_algo_name,AS-CS-PC-SO,AS-CS-PC-SO_algo_name
GNEGATIVEGO,0.9145982101984588,0.9330494770547648,0.8715498858344112,0.9203965115169384,0.9386127916329216,['RSMLCC'],0.9386127916329216,0.02401458143446278,0.005563314578156731,0.06706290579851037,0.018216280115983197,0.0,0.02401458143446278,CLR,0.02401458143446278,CLR,0.018216280115983197,CC,0.005563314578156731,Ada300,0.005563314578156731,Ada300,0.005563314578156731,Ada300,0.005563314578156731,Ada300,0.005563314578156731,Ada300
GNEGATIVEPSEACC,0.394517238489085,0.3433120930536172,0.3224710198057962,0.4144638467213215,0.2896731550254412,['CC'],0.4144638467213215,0.01994660823223654,0.07115175366770432,0.09199282691552535,0.0,0.12479069169588031,0.01994660823223654,CLR,0.0,CC,0.01994660823223654,CLR,0.01994660823223654,CLR,0.01994660823223654,CLR,0.01994660823223654,CLR,0.01994660823223654,CLR,0.05596971757388092,"CLR,RFDTBR"
GPOSITIVEGO,0.7635467751704734,0.9188007268322228,0.7767146853496184,0.8194270833333334,0.7121051609371964,['Ada300'],0.9188007268322228,0.15525395166174938,0.0,0.1420860414826044,0.09937364349888944,0.20669556589502636,0.09937364349888944,CC,0.09937364349888944,CC,0.09937364349888944,CC,0.09937364349888944,CC,0.09937364349888944,CC,0.09937364349888944,CC,0.09937364349888944,CC,0.09937364349888944,CC
GPOSITIVEPSEAAC,0.530467033851902,0.4833610940650478,0.4979293602437167,0.6118149152692107,0.4341020859701838,['CC'],0.6118149152692107,0.08134788141730875,0.12845382120416293,0.11388555502549402,0.0,0.17771282929902693,0.08134788141730875,CLR,0.11388555502549402,RFDTBR,0.12845382120416293,Ada300,0.08134788141730875,CLR,0.08134788141730875,CLR,0.0,CC,0.0,CC,0.0,CC
HUMANGO,0.7055586754408286,0.6486759766974356,0.576383396390665,0.6402273537974488,0.6057491741800247,['CLR'],0.7055586754408286,0.0,0.05688269874339302,0.12917527905016357,0.06533132164337985,0.0998095012608039,0.0,CLR,0.12917527905016357,RFDTBR,0.0998095012608039,RSMLCC,0.0998095012608039,RSMLCC,0.0998095012608039,RSMLCC,0.0998095012608039,RSMLCC,0.0998095012608039,RSMLCC,0.0998095012608039,RSMLCC
HUMANPSEAAC,0.221524510591419,0.1264012710389827,0.1685182127661763,0.1516173079031532,0.1445710182758399,['CLR'],0.221524510591419,0.0,0.09512323955243632,0.053006297825242715,0.06990720268826581,0.0769534923155791,0.0,CLR,0.0,CLR,0.0,CLR,0.0,CLR,0.0,CLR,0.0,CLR,0.0,CLR,0.0,CLR
LANGLOG,0.077132570155314,0.0595077349803033,0.0598243961710245,0.0615205496524316,0.0645167210702604,['CLR'],0.077132570155314,0.0,0.017624835175010692,0.017308173984289493,0.015612020502882393,0.012615849085053601,0.017308173984289493,RFDTBR,0.017308173984289493,RFDTBR,0.017624835175010692,Ada300,0.017624835175010692,Ada300,0.017624835175010692,Ada300,0.017624835175010692,Ada300,0.017624835175010692,Ada300,0.017624835175010692,Ada300
MEDICAL,0.3426560278834711,0.39969165160191,0.3356771792605023,0.3546286793742579,0.3154938364555963,['Ada300'],0.39969165160191,0.0570356237184389,0.0,0.06401447234140772,0.0450629722276521,0.08419781514631369,0.0570356237184389,CLR,0.06401447234140772,RFDTBR,0.0570356237184389,CLR,0.0,Ada300,0.040350032019948856,"CLR,RFDTBR,Ada300",0.0570356237184389,CLR,0.0570356237184389,CLR,0.0570356237184389,CLR
NG20,0.6103902829385642,0.6617532795988976,0.694355895006838,0.6635296963065676,0.7316638923867739,['RSMLCC'],0.7316638923867739,0.12127360944820964,0.06991061278787625,0.03730799737993584,0.06813419608020632,0.0,0.06991061278787625,Ada300,0.06991061278787625,Ada300,0.12127360944820964,CLR,0.12127360944820964,CLR,0.12127360944820964,CLR,0.12127360944820964,CLR,0.09470390276420793,"CLR,CC",0.06813419608020632,CC
OHSUMED,0.4297341424990449,0.3234954398372702,0.3878923366555773,0.3802054683874722,0.3840017442884961,['CLR'],0.4297341424990449,0.0,0.10623870266177471,0.04184180584346758,0.04952867411157269,0.04573239821054881,0.04573239821054881,RSMLCC,0.04573239821054881,RSMLCC,0.0,CLR,0.0,CLR,0.0,CLR,0.0,CLR,0.0,CLR,0.0,CLR
PLANTGO,0.7078434171292267,0.7259350123194208,0.6484037445164047,0.6297153101068639,0.7113538083687231,['Ada300'],0.7259350123194208,0.0180915951901941,0.0,0.07753126780301611,0.09621970221255693,0.01458120395069773,0.01458120395069773,RSMLCC,0.0,Ada300,0.0180915951901941,CLR,0.01458120395069773,RSMLCC,0.01458120395069773,RSMLCC,0.01458120395069773,RSMLCC,0.01458120395069773,RSMLCC,0.01458120395069773,RSMLCC
PLANTPSEAAC,0.2799273859313553,0.1236457089334831,0.1589554199928902,0.0453656154014737,0.1265885119646437,['CLR'],0.2799273859313553,0.0,0.1562816769978722,0.1209719659384651,0.23456177052988159,0.1533388739667116,0.0,CLR,0.1533388739667116,RSMLCC,0.0,CLR,0.0,CLR,0.0,CLR,0.0,CLR,0.0,CLR,0.0,CLR
PROTEINS_HUMAN,0.3718388640720215,0.7065889258839059,0.2815422875964481,0.2822857227952318,0.8264095877781726,['RSMLCC'],0.8264095877781726,0.45457072370615115,0.11982066189426677,0.5448673001817246,0.5441238649829409,0.0,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC
PROTEINS_PLANT,0.3824495308477038,0.7284835338002543,0.2492882972907051,0.3320665591413475,0.9238329343882752,['RSMLCC'],0.9238329343882752,0.5413834035405714,0.19534940058802086,0.6745446370975701,0.5917663752469278,0.0,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC
PROTEINS_VIRUS,0.5153624290211657,0.7085036871617595,0.5250211398613225,0.3748492678725236,0.9121545797002186,['RSMLCC'],0.9121545797002186,0.39679215067905294,0.20365089253845914,0.38713343983889614,0.537305311827695,0.0,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC
REUTERSK500,0.2730038421432831,0.2451848380494127,0.2788771694097529,0.277875961817221,0.2461218811196761,['RFDTBR'],0.2788771694097529,0.005873327266469774,0.033692331360340166,0.0,0.0010012075925318609,0.03275528829007679,0.005873327266469774,CLR,0.0010012075925318609,CC,0.005873327266469774,CLR,0.005873327266469774,CLR,0.005873327266469774,CLR,0.005873327266469774,CLR,0.005873327266469774,CLR,0.005873327266469774,CLR
