fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
10,"[0.00027286 0.00079469 0.00036855 0.00076953 0.00173665 0.00028595
 0.00158361 0.00163293 0.00036875 0.00137098]","[4.88991449e-05 8.04186746e-03 1.04014229e-03 5.49852185e-04
 6.83658887e-03 6.37989024e-04 2.70804373e-04 3.29765623e-03
 4.38608609e-03 7.74806578e-05]","[0.00235694 0.00841495 0.00446345 0.01093887 0.01756341 0.00394791
 0.02056003 0.01897335 0.00445767 0.01879126]","[4.85967339e-04 5.66180376e-03 3.10373814e-03 9.42198111e-05
 2.83027101e-03 1.13343565e-03 1.52225699e-04 3.81567599e-04
 4.29526475e-03 2.11641531e-03]"
11,"[0.00026434 0.00075395 0.00036686 0.00070374 0.00162892 0.00030579
 0.00146021 0.00153365 0.00041481 0.00121866]","[0.00324142 0.02467206 0.00768814 0.04611634 0.04579897 0.00094547
 0.07381037 0.05990524 0.00332626 0.09146341]","[0.00236905 0.0085199  0.00452531 0.01074137 0.01759515 0.00396204
 0.02035835 0.01888257 0.00449964 0.01851642]","[1.56040575e-06 1.46372627e-03 6.29343179e-04 7.99435096e-03
 1.56086925e-03 5.68228846e-04 8.21928935e-03 4.01263830e-03
 2.61657403e-03 1.31097571e-02]"
12,"[0.00014787 0.00070836 0.00038061 0.00101462 0.00119311 0.00028254
 0.0015785  0.00156556 0.00041103 0.00176641]","[0.03005917 0.08605148 0.01505353 0.04845719 0.21782863 0.00256877
 0.15484678 0.17308773 0.00536049 0.11752744]","[0.00236471 0.00854933 0.00453384 0.01088375 0.01761143 0.00397589
 0.0205337  0.01895415 0.00445981 0.01882017]","[1.74981326e-04 2.86767710e-04 2.87861179e-04 2.29883627e-03
 9.09762402e-04 1.39757952e-05 1.20534857e-03 1.14925674e-03
 4.20946606e-03 9.59742358e-04]"
13,"[0.00022501 0.00067661 0.00035513 0.00080043 0.00140673 0.00028073
 0.00146815 0.00144394 0.0004305  0.00135975]","[6.63648610e-04 1.04838942e-03 3.63856609e-04 3.30298370e-05
 3.38028523e-03 4.47073094e-05 4.00568971e-04 2.64750053e-03
 1.45359197e-03 1.77632032e-04]","[0.00236908 0.00855496 0.00452699 0.01090874 0.01763236 0.00396299
 0.02053256 0.01895802 0.00451692 0.01884036]","[4.66526338e-07 6.13030854e-05 5.62152149e-04 1.29955078e-03
 7.24653126e-05 5.30229864e-04 1.25077202e-03 9.94732281e-04
 1.92535887e-03 1.52264118e-04]"
14,"[0.00023363 0.00073294 0.00035117 0.00082152 0.00151823 0.0002802
 0.00154556 0.00150378 0.0004369  0.00141312]","[1.04032462e-04 6.38729962e-05 2.83864958e-04 2.30298123e-04
 3.30937541e-04 7.31590133e-04 6.43901131e-04 7.84328825e-05
 5.16029338e-05 2.79797847e-06]","[0.00236279 0.00853373 0.00448801 0.01088962 0.01758115 0.00395348
 0.02046985 0.01883761 0.00455923 0.0186349 ]","[0.0002521  0.00091052 0.00212105 0.00206442 0.00212083 0.00091066
 0.00375936 0.00581095 0.0002329  0.00837056]"
15,"[0.00022742 0.00067337 0.00035271 0.0007665  0.00141729 0.00027602
 0.00145583 0.00142593 0.00042999 0.00131597]","[4.01365604e-05 2.11404421e-03 1.21735033e-04 4.95309319e-03
 1.57159871e-03 2.20713716e-05 4.10148960e-03 1.22117934e-03
 5.95334569e-04 3.52181185e-03]","[0.00236907 0.00855562 0.00447997 0.01076725 0.01763353 0.00391732
 0.0203935  0.01893559 0.00441493 0.01881528]","[7.72706331e-07 3.51679983e-05 2.44295294e-03 6.95905289e-03
 2.55148646e-05 2.35683065e-03 6.81316538e-03 1.89189994e-03
 6.00480498e-03 1.15563966e-03]"
16,"[0.00023857 0.00068845 0.00035041 0.00081465 0.0014433  0.00028651
 0.00152815 0.00139868 0.00043471 0.00130841]","[5.21992757e-05 9.97750964e-04 1.61163062e-03 1.36189225e-03
 1.50637933e-03 1.08374042e-03 8.80838154e-04 5.14552511e-03
 4.69101989e-03 1.05059946e-05]","[0.00236712 0.00845395 0.00430382 0.01085293 0.01750123 0.00378029
 0.02049994 0.0183312  0.0041839  0.01880811]","[7.87876035e-05 4.10179371e-03 9.48859964e-03 3.53184586e-03
 5.31754304e-03 7.83812841e-03 2.55561560e-03 2.60676171e-02
 1.52459725e-02 1.44248863e-03]"
17,"[0.00022247 0.00064544 0.00034596 0.00078598 0.00134231 0.00030122
 0.00142768 0.00132016 0.0004518  0.00123472]","[4.38242674e-05 1.25564077e-03 5.95953321e-04 2.43245632e-03
 1.76862401e-03 3.16561143e-04 3.12927558e-03 3.58168459e-03
 1.92790908e-04 5.43642162e-03]","[0.00236845 0.00854697 0.00450485 0.01090662 0.01762894 0.00392981
 0.02053799 0.01890005 0.00455723 0.01870261]","[2.55106517e-05 3.80927385e-04 1.44750971e-03 1.38404444e-03
 2.09281187e-04 1.85734791e-03 1.03374729e-03 3.31355808e-03
 3.12772902e-04 5.66239697e-03]"
18,"[0.00022152 0.00066643 0.00037401 0.00076364 0.00136497 0.00028367
 0.00138681 0.00140517 0.00041778 0.00128711]","[4.16831876e-04 3.88768010e-05 1.46175635e-04 2.02246380e-03
 2.01110249e-04 6.93247617e-05 4.27562612e-03 3.42831942e-05
 2.62215045e-03 3.25608586e-03]","[0.00234948 0.00855275 0.00444775 0.01073077 0.01759369 0.00394889
 0.02020528 0.01884848 0.00440697 0.01826017]","[0.00078438 0.00014968 0.00373172 0.00841842 0.00161935 0.00109435
 0.01434216 0.00537612 0.00632306 0.02335998]"
19,"[0.00021945 0.00065213 0.00036873 0.00074366 0.00137341 0.00028135
 0.00138384 0.00146035 0.000412   0.00128974]","[1.25764161e-03 3.41673740e-03 3.18043961e-03 9.71107194e-04
 5.28522702e-04 4.38154622e-04 1.84955927e-05 4.23321710e-06
 7.44758939e-04 6.36693870e-04]","[0.00229501 0.00853764 0.00437104 0.01090022 0.01761598 0.00395661
 0.02055898 0.01890725 0.0045608  0.01880015]","[0.00296321 0.00075398 0.00680016 0.00164043 0.00072774 0.00078555
 0.00019413 0.00302549 0.00017013 0.00176071]"
