DATASET,DEEP4_vs_RFPCT,DEEP4_vs_CC,DEEP4_vs_Ada300,DEEP4_vs_TREMLC,RFPCT_vs_CC,RFPCT_vs_Ada300,RFPCT_vs_TREMLC,CC_vs_Ada300,CC_vs_TREMLC,Ada300_vs_TREMLC
ABPM,0.1049382716049383,0.06172839506172839,0.139917695473251,0.139917695473251,-0.0432098765432099,0.034979423868312695,0.034979423868312695,0.0781893004115226,0.0781893004115226,0.0
ARABIC200,0.0037150199885779,0.0024842946887492987,0.0007766990291262002,0.0021987435750999013,-0.0012307252998286014,-0.0029383209594517,-0.0015162764134779988,-0.0017075956596230984,-0.0002855511136493974,0.001422044545973701
BIBTEX,-0.0031825161439598994,-0.023001198965103803,-0.0005532067057908013,-0.0032056540670158014,-0.019818682821143904,0.002629309438169098,-2.313792305590201e-05,0.022447992259313,0.019795544898088,-0.002652447361225
BIRDS,0.0010889292196006942,-0.0043557168784029016,-0.0001814882032667997,0.004537205081669694,-0.005444646098003596,-0.0012704174228674939,0.003448275862069,0.004174228675136102,0.008892921960072596,0.004718693284936494
CAL500,-0.0132433783108446,-0.0288105947026486,-0.03823088455772111,-0.023988005997001516,-0.015567216391804,-0.024987506246876512,-0.010744627686156916,-0.009420289855072511,0.004822588705647085,0.014242878560719596
CHD_49,0.027322404371584785,0.020947176684881663,-0.007285974499089243,0.027322404371584785,-0.006375227686703122,-0.03460837887067403,0.0,-0.028233151183970906,0.006375227686703122,0.03460837887067403
COREL5K,-0.005048602513105601,-0.0035655014356839997,-0.0026448196833592993,-0.0062616896288296,0.001483101077421601,0.0024037828297463013,-0.0012130871157239997,0.0009206817523247004,-0.0026961881931456006,-0.003616869945470301
DELICIOUS,0.18837749585235053,0.1921908546363776,0.1910556362955259,0.177825153953517,0.0038133587840270995,0.002678140443175398,-0.0105523418988335,-0.0011352183408517014,-0.0143657006828606,-0.013230482342008899
EMOTIONS,0.1586419753086419,0.1388888888888889,0.1271604938271605,0.154320987654321,-0.019753086419753013,-0.031481481481481416,-0.004320987654320901,-0.011728395061728403,0.015432098765432112,0.027160493827160515
ENRON,0.003082646824342297,-0.025245814509699704,0.00013287270794579836,0.0014615997874036987,-0.028328461334042,-0.002949774116396499,-0.0016210470369385985,0.025378687217645503,0.026707414297103403,0.0013287270794579004
FLAGS,0.10519480519480529,0.04545454545454547,0.06233766233766236,0.09220779220779227,-0.059740259740259816,-0.04285714285714293,-0.012987012987013019,0.01688311688311689,0.0467532467532468,0.029870129870129908
FOODTRUCK,0.7054794520547946,0.7191780821917809,0.6723744292237444,0.7054794520547946,0.0136986301369863,-0.033105022831050296,0.0,-0.046803652968036596,-0.0136986301369863,0.033105022831050296
GENBASE,0.9611872146118722,0.9613140537798072,0.9616945712836125,0.9601725012683917,0.000126839167935,0.0005073566717402,-0.0010147133434805,0.00038051750380519995,-0.0011415525114155001,-0.0015220700152207
GNEGATIVEGO,0.0013616557734204005,0.0005446623093681002,-0.0016339869281046006,0.0106992568716984,-0.0008169934640523003,-0.002995642701525001,0.009337601098278,-0.0021786492374727007,0.0101545945623303,0.012333243799803
GNEGATIVEPSEACC,0.0645424836601307,0.08061002178649229,0.0800653594771242,0.06971677559912849,0.016067538126361594,0.015522875816993506,0.005174291938997794,-0.000544662309368088,-0.0108932461873638,-0.010348583877995712
GPOSITIVEGO,-0.0029239766081870996,0.0043859649122807015,0.0175438596491228,-0.1505847953216374,0.007309941520467801,0.0204678362573099,-0.1476608187134503,0.013157894736842098,-0.1549707602339181,-0.1681286549707602
GPOSITIVEPSEAAC,0.1549707602339181,0.16666666666666669,0.1359649122807018,0.059941520467836185,0.011695906432748593,-0.019005847953216304,-0.09502923976608191,-0.030701754385964897,-0.1067251461988305,-0.0760233918128656
HUMANGO,0.004324776785714302,0.003976004464285698,-0.002790178571428596,0.004464285714285698,-0.00034877232142860315,-0.007114955357142898,0.00013950892857139685,-0.006766183035714295,0.00048828125,0.007254464285714295
HUMANPSEAAC,0.01171875,0.0181361607142857,0.025111607142857192,0.013392857142857192,0.006417410714285698,0.013392857142857192,0.0016741071428571924,0.006975446428571494,-0.004743303571428506,-0.01171875
LANGLOG,-0.0048743169398907,-0.0004808743169399006,-0.004983606557377,-0.013202185792349701,0.0043934426229507995,-0.0001092896174863002,-0.008327868852459001,-0.0045027322404371,-0.0127213114754098,-0.008218579234972701
MEDICAL,0.0032804232804232013,0.001375661375661301,0.0047619047619047,0.0006878306878306002,-0.0019047619047619004,0.0014814814814814985,-0.002592592592592601,0.003386243386243399,-0.0006878306878307008,-0.0040740740740741
NG20,0.007458064516129001,0.010122580645161298,0.010761290322580698,0.0099935483870968,0.0026645161290322975,0.003303225806451697,0.0025354838709677995,0.0006387096774193995,-0.000129032258064498,-0.0007677419354838975
OHSUMED,-0.003265534614666901,0.0060256888723021,0.000684207252596894,0.001547241400758896,0.009291223486969001,0.003949741867263795,0.004812776015425797,-0.005341481619705206,-0.004478447471543204,0.0008630341481620021
PLANTGO,0.009834368530020704,0.0054347826086956,0.0072463768115942,0.007763975155279504,-0.004399585921325104,-0.0025879917184265036,-0.0020703933747412,0.0018115942028986004,0.002329192546583904,0.0005175983436853035
PLANTPSEAAC,-0.034161490683229906,-0.004658385093167711,-0.0012939958592133038,-0.021739130434782705,0.029503105590062195,0.0328674948240166,0.0124223602484472,0.003364389233954407,-0.017080745341614995,-0.0204451345755694
PROTEINS_HUMAN,0.8335003005409738,0.8269885794429975,0.8608495291524745,0.8670607092766981,-0.006511721097976299,0.0273492286115007,0.0335604087357243,0.033860949709477,0.0400721298337006,0.0062111801242236
PROTEINS_PLANT,0.8373842592592592,0.8307291666666665,0.8888888888888888,0.8969907407407407,-0.006655092592592601,0.0515046296296297,0.059606481481481496,0.0581597222222223,0.0662615740740741,0.0081018518518518
PROTEINS_VIRUS,0.6532258064516129,0.5645161290322581,0.7473118279569892,0.7580645161290323,-0.08870967741935479,0.0940860215053763,0.1048387096774194,0.18279569892473108,0.1935483870967742,0.010752688172043098
REUTERSK500,-0.0003957804952909993,0.0025362260310486003,0.0018456294525306012,0.00045232056604690117,0.0029320065263395995,0.0022414099478216005,0.0008481010613379004,-0.000690596578517999,-0.002083905465001699,-0.0013933088864837
SCENE,0.019965277777777804,0.027777777777777804,0.029166666666666702,0.027083333333333404,0.0078125,0.009201388888888898,0.0071180555555556,0.0013888888888888978,-0.0006944444444444003,-0.002083333333333298
SLASHDOT,-0.004115844499188802,0.0009313224779187029,-0.004055759178032803,-0.015562098179414702,0.005047166977107505,6.0085321155999016e-05,-0.0114462536802259,-0.004987081655951506,-0.016493420657333405,-0.011506339001381899
STACKEX_CHESS,-0.006062200013150099,-0.001091459004536801,-0.0049707410086133,-0.0756366558647174,0.004970741008613298,0.0010914590045367992,-0.0695744558515673,-0.003879282004076499,-0.0745451968601806,-0.0706659148561041
STACKEX_CS,-0.0014629960194726,-0.0002670704142929987,-0.0002140490820435985,-0.0016652625832385987,0.0011959256051796013,0.0012489469374290015,-0.00020226656376599872,5.3021332249400185e-05,-0.0013981921689456,-0.0014512135011950002
STACKEX_PHILOSOPHY,-0.006495693336458599,-0.0045316284495742,-0.0009672143955988012,-0.0020152545067072,0.001964064886884399,0.005528478940859798,0.004480438829751399,0.003564414053975399,0.0025163739428670003,-0.0010480401111083986
TMC2007_500,0.016096667248298703,0.004374137466093504,-0.002109738106946299,0.017524309576307504,-0.011722529782205199,-0.018206405355245002,0.0014276423280088005,-0.006483875573039803,0.013150172110214,0.019634047683253802
VIRUSGO,0.024509803921568693,0.0416666666666667,-0.0024509803921567985,0.019607843137254992,0.017156862745098003,-0.02696078431372549,-0.004901960784313701,-0.0441176470588235,-0.022058823529411704,0.02205882352941179
VIRUS_PSEAAC,0.024509803921568596,0.036764705882352894,0.017156862745097978,0.044117647058823484,0.012254901960784298,-0.007352941176470618,0.019607843137254888,-0.019607843137254916,0.00735294117647059,0.026960784313725505
WATER_QUALITY,0.06385591485878023,0.03765861645517804,0.027015963978714697,0.061809250920998815,-0.026197298403602187,-0.03683995088006553,-0.002046663937781412,-0.010642652476463343,0.024150634465820775,0.03479328694228412
YEAST,0.05872359284975617,0.022972374058206485,0.032501107992317896,0.06241690057615598,-0.03575121879154969,-0.026222484857438277,0.003693307726399808,0.00952873393411141,0.039444526517949496,0.029915792583838086
YELP,0.1058625525946704,0.09565217391304351,0.060589060308555404,0.11674614305750351,-0.010210378681626886,-0.04527349228611499,0.010883590462833118,-0.035063113604488105,0.021093969144460004,0.05615708274894811
