fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
23,[0.00312615 0.00317211 0.00346669 0.00401544 0.00328609],[0.00107501 0.00280917 0.00204051 0.0061593  0.00080278],[0.03600894 0.03823081 0.05204615 0.0465268  0.04226868],[0.02012051 0.03221794 0.03867772 0.04607489 0.02802781]
24,[0.00281129 0.00281136 0.00309879 0.00357448 0.00303276],[0.05561076 0.06800266 0.11007407 0.06032209 0.04060948],[0.03498755 0.03728639 0.05033024 0.04632481 0.04221273],[0.0609761  0.06999465 0.10731411 0.05415446 0.03026574]
25,[0.00281651 0.00281551 0.00328436 0.00357681 0.00299179],[0.00017214 0.00454174 0.01927    0.00104923 0.00116305],[0.03649578 0.03885707 0.05116784 0.0476703  0.04296914],"[6.46669848e-04 7.16751238e-03 7.38100793e-02 3.34808970e-04
 9.43885506e-06]"
26,[0.00280497 0.00299994 0.00380439 0.00364672 0.00299067],[0.0281765  0.00333834 0.0182232  0.01498204 0.0215909 ],[0.03597927 0.03903587 0.05079065 0.04749546 0.04259905],"[2.13071690e-02 1.56522823e-05 8.88973735e-02 7.32837017e-03
 1.48131550e-02]"
27,[0.00293213 0.00294165 0.00339873 0.00352102 0.00296724],[0.00126948 0.00089712 0.01037496 0.00863179 0.02713743],[0.0364614  0.03901056 0.05073158 0.04755837 0.04240566],[0.00202198 0.00102789 0.09126032 0.00481211 0.0225488 ]
28,[0.00264306 0.00272765 0.00321353 0.00325491 0.00264346],[0.00257536 0.00461217 0.00241124 0.00961437 0.00606927],[0.03625873 0.03873142 0.05256224 0.0474644  0.04285757],[0.01012876 0.01219347 0.01803401 0.00857083 0.00447205]
29,[0.0026573  0.00266014 0.00306178 0.00314248 0.00279411],[0.01707165 0.01752285 0.02151499 0.04842514 0.02085736],[0.03598637 0.03852469 0.0522703  0.04620951 0.04199373],[0.02102327 0.02046269 0.02971161 0.05876658 0.03902567]
30,[0.00286784 0.00283754 0.00338609 0.00345368 0.00305867],[0.00606792 0.01456833 0.0079354  0.01652464 0.00954612],[0.03646679 0.03882844 0.05285908 0.04749301 0.04291   ],[0.00180657 0.00831294 0.00616034 0.00742645 0.00237509]
31,[0.00286251 0.00290928 0.00355286 0.00358352 0.00309292],[0.00266141 0.00406943 0.00019723 0.00414265 0.00139695],[0.03464068 0.03666708 0.05113972 0.04465353 0.04102246],[0.07485073 0.09476728 0.07493477 0.12100546 0.0778767 ]
32,[0.00285087 0.00289377 0.00340607 0.00358463 0.00294373],[0.00573558 0.00774569 0.0030803  0.00022583 0.017466  ],[0.03536305 0.03768798 0.05110168 0.04477705 0.04206584],[0.04595594 0.05393138 0.07645625 0.11606487 0.03614128]
33,[0.00301547 0.00305311 0.00360528 0.0036377  0.00313478],[0.00072711 0.00344528 0.00127589 0.02394277 0.00045034],[0.03451778 0.03616878 0.05035464 0.04219058 0.04085502],[0.07976696 0.11469908 0.10633792 0.21952353 0.08457409]
34,[0.00279677 0.00282086 0.00328176 0.00352341 0.00297505],[0.01939513 0.01038334 0.00051385 0.01902584 0.0087256 ],[0.03572103 0.03857776 0.05297011 0.04686359 0.04258076],[0.0316369  0.01834008 0.00171934 0.0326031  0.01554458]
35,[0.00265043 0.00269628 0.00334639 0.00363782 0.00291257],[0.04039953 0.04989074 0.02570475 0.01205188 0.02388273],[0.03501853 0.03708578 0.05147335 0.04670201 0.04137932],[0.05973668 0.07801902 0.06158959 0.03906631 0.06360206]
36,[0.00248244 0.00252113 0.00313167 0.00343052 0.00273221],[0.07069487 0.07331326 0.0791425  0.04490947 0.03915496],[0.03590614 0.03854362 0.05266758 0.04743127 0.04285939],[0.02423255 0.01970552 0.01382034 0.00989584 0.00439935]
37,[0.00239438 0.00245898 0.00300386 0.00315854 0.0026936 ],[0.00060562 0.0005202  0.00514465 0.00016522 0.00234404],[0.03651043 0.03903394 0.05289265 0.04765725 0.04295836],"[6.10474100e-05 9.27805763e-05 4.81747525e-03 8.56790703e-04
 4.40641845e-04]"
38,[0.00253736 0.00253759 0.00305616 0.0033605  0.00280364],"[4.35910132e-04 7.64180962e-04 2.15246438e-06 5.83914282e-04
 1.98157935e-03]",[0.03642882 0.03894102 0.05301184 0.04755308 0.04279478],"[3.32515936e-03 3.80946626e-03 5.01552342e-05 5.02342885e-03
 6.98382571e-03]"
39,[0.00253807 0.00251398 0.00300129 0.00335101 0.00272113],[0.00392192 0.00250369 0.00116796 0.00032689 0.00010868],[0.03549343 0.03818377 0.05282931 0.04722005 0.04255986],[0.04074079 0.03409962 0.00735131 0.01834485 0.01638047]
