fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,0.00034930781597445086,0.0156786303056873,0.00405712810368357,0.0035836235312170445
1,0.0003907185845245344,0.0031821536238412777,0.0040543333208582655,0.003695414844229168
2,0.00041189254808985043,0.0006306805659937928,0.00414422566285563,9.972116433463438e-05
3,0.0004173804530748672,0.0005302553449541721,0.004134848208561331,0.00047481933610661213
4,0.0004020945654959834,1.6922827936631917e-05,0.00398988829704121,0.00627321579691148
5,0.0003583619916997155,0.006865457644190589,0.003808140761367219,0.01354311722387107
6,0.00039993687316107956,0.0027673882593259205,0.003951833404210651,0.007795411510133738
7,0.0003896311032006984,0.0033418288396253218,0.0038603123035100017,0.011456255538159746
8,0.00038817522124993557,1.9239432000023075e-05,0.004139758690540612,0.0002784000569353661
9,0.0003699907582767269,0.0027314580018566333,0.004139090544529517,0.00030512589737916474
10,0.0003837294607725986,0.0007544226297459144,0.0041298024187561245,0.0006766509283148573
11,0.0004012129573426995,0.0019219058032107412,0.003985956553093054,0.00643048555483771
12,0.00042010199652556284,0.0033414660507114545,0.003942117477161937,0.008184048592082355
13,0.0004163490951974707,0.001133982636462672,0.0039023617053510875,0.009774279464516311
14,0.000393409090892695,0.003062409027720202,0.0041108192593569915,0.0014359773042801767
15,0.00040584755062404585,0.005840127586180835,0.003913333523510516,0.009335406738139203
16,0.0004202125368801371,0.0009775223702191559,0.004118221838053622,0.0011398741564149339
17,0.0004049345208439605,0.0009887041190009553,0.003961843147863738,0.007395021764010317
18,0.0003819143736711241,0.0038493417433277466,0.00409371704944192,0.0021200657008830456
19,0.00037706417960137054,0.004966079402324404,0.004059749533178883,0.00347876635140454
20,0.00042831085943446635,0.004628144098601925,0.004001334113883606,0.005815383123215584
21,0.00044068671683409114,0.00044478555181296685,0.004082637252171546,0.0025632575916979816
22,0.0004278745613235917,0.0002784704554860001,0.004146013471358686,2.8208824212421114e-05
23,0.0004188695998677369,0.00011664219608456236,0.004005249751183082,0.005658757631236563
24,0.00042273586059864257,0.006612231063681722,0.004026917776566511,0.004792036615899317
25,0.00040882451313029245,0.000769071536810612,0.004104222359767071,0.0016998532878769684
26,0.0004134616774600218,0.000196701037122373,0.004139094702534783,0.0003049595771685084
27,0.0004022041767367369,7.97554110011238e-06,0.004142252861946777,0.00017863320068875994
28,0.0003826738978892134,0.00018563952339792052,0.004133291749221194,0.0005370777097120797
29,0.00036179941770839825,0.0047343990719128475,0.004065549551711129,0.003246765610114682
30,0.00038167920551968916,0.0036879074445268557,0.004144292239471398,9.705809970389513e-05
31,0.00038753376155380127,0.0004416738737359916,0.004089522805988931,0.00228783543900264
32,0.00038530333626264325,0.002627736260761735,0.0041426837174220925,0.00016139898167611208
33,0.0004042969253398408,0.0021296958404410943,0.0040120626334476436,0.005386242340654111
34,0.00037154439909630247,0.0036234138400474095,0.004025669207797144,0.004841979366674068
35,0.0003624182933672662,0.011410236796447613,0.003937746958523718,0.00835886933761118
36,0.00030407097922951137,0.013962348720137564,0.003985789402777843,0.006437171567446128
37,0.00034453017215294344,0.004594579317995846,0.0037301145719508175,0.016664164800527133
38,0.00033209331528093997,0.0013598521823112314,0.004086402679715171,0.0024126404899530085
39,0.0003434128068627358,0.001182211792691419,0.004117373255924049,0.001173817441597891
