fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,0.0004031201302363908,2.7966518503357172e-05,0.008031367984092859,0.0027075688093772194
1,0.0004320976977561826,7.594906173822447e-07,0.00809716783925149,7.557460303198358e-05
2,0.0003801987083823219,0.008851383079372568,0.0077895157515048205,0.012381658112898753
3,0.0004310302820746917,0.00016401382819914218,0.008081911460337992,0.0006858297595718378
4,0.00045329331281113275,0.0010986921961904552,0.008073047892543013,0.001040372471370984
5,0.0004627417343770166,0.0006318117703419072,0.008039616870498801,0.0023776133531394524
6,0.00040057001493887815,0.008120732543017341,0.007178257083189139,0.03683200484552592
7,0.0004377354862596129,0.00532342560540287,0.0074987687902648165,0.02401153656249888
8,0.0003986705255105631,4.694912783673916e-05,0.008041450815827965,0.0023042555399729174
9,0.0003891793175952468,0.0014588772973349257,0.008098782117272987,1.1003482171968654e-05
10,0.0003932405280767251,2.39292139186741e-05,0.008048195696154897,0.002034460326895656
11,0.0004120806688767409,0.0006786554258163924,0.00802965693207376,0.0027760108901410696
12,0.0003957862372118956,0.00428043071133353,0.008050369896134602,0.0019474923277072835
13,0.00038847017630054483,0.00016659572773867833,0.008064684080766004,0.0013749249424514058
14,0.0003891701729249901,8.914791435053141e-05,0.00804041400300595,0.0023457280528534604
15,0.0005179308665833705,0.009444292958474876,0.007080582437751874,0.04073899066301661
16,0.000513671239506221,0.010752928452604409,0.007146567634638726,0.03809958278754241
17,0.0004289447658169657,1.548115507574128e-05,0.008046291262983011,0.0021106376537710714
18,0.00040162256720959426,9.774809730373979e-07,0.008046930617434203,0.002085063475723417
19,0.0003437389096365583,0.007949169973223001,0.007828412347314167,0.010825794280524837
20,0.0003912944999770877,9.222377908689442e-05,0.008098344696060902,2.8500330655474906e-05
21,0.0003901005959248765,0.002048482251557068,0.008087838777473967,0.0004487370741328403
22,0.00040855428720815547,0.00015838679210543287,0.008074260268649311,0.000991877427119045
23,0.0004037215238244202,0.00010223930990077702,0.00803945353793358,0.0023841466557482627
24,0.00038407211128010075,4.441098032574515e-05,0.008028455636415039,0.0028240627164899806
25,0.0004061055104884176,0.0031846637993205047,0.007623310552977501,0.01902986605399146
26,0.00043294571687602616,0.003099354971250373,0.0074606974583480735,0.0255343898391686
27,0.00040694145050225287,0.007215445639207116,0.007350511033030803,0.02994184685185946
28,0.00042546914979287834,0.0031813831466124915,0.007723859957376769,0.015007889878020753
29,0.0004221526932769222,0.0003306141368871025,0.00804272332806921,0.0022533550503230733
30,0.00042492541423488905,0.0062939568118143335,0.007913182946486226,0.007434970313642421
31,0.00031112735554853806,0.025461717248542244,0.008048883922259546,0.0020069312827096656
32,0.0004384308331767522,0.00013262752914287447,0.00777427640401211,0.012991232012607141
33,0.00043560036377556703,0.0007778272346268182,0.007713970569400009,0.015403465397091169
34,0.0004098211518163696,0.0002935413719978571,0.008071571668105215,0.0010994214488829134
35,0.00042687400799805376,0.0004032505907981437,0.008039706956391826,0.002374009917418527
36,0.00039828000471519735,0.00021708499461660103,0.008067659609977356,0.0012559037739972379
37,0.00041019556767066544,7.882279639660116e-05,0.008065850808162968,0.0013282558465727852
38,0.0003966826312285476,5.211569248889531e-05,0.008056332148868351,0.0017090022183574303
39,0.0004069759813323701,0.0017570407960670901,0.008062681042280096,0.0014550464818877268
