,DATASET,METHOD,LABEL RANKING AVERAGE PRECISION,RECALL example based,PRECISION example based,MICRO RECALL,COVARAGE,MACRO F1,ONE ERROR,AUCROC MICRO,testTime,trainTime,F1 example based,AUPRC MICRO,SUBSET ACCURACY,MACRO RECALL,HAMMING LOSS example based,MICRO PRECISION,ACCURACY example-based,MACRO PRECISION,LABEL RANKING LOSS,MICRO F1
0,ABPM,Ada300,0.9954423868312758,0.9679012345679013,0.9674897119341563,0.9628482972136223,4.049382716049383,0.9116125307714092,0.0,0.982753708522479,0.05051887035369873,1.5259308815002441,0.9639320898580158,0.9900282124151804,0.7160493827160493,0.937985008818342,0.04938271604938271,0.9628482972136223,0.9362139917695474,0.8969135802469136,0.016975308641975308,0.9628482972136223
1,ABPM,BPNN,0.9712962962962964,0.9166666666666666,0.9181069958847737,0.913312693498452,4.320987654320987,0.8572304863409984,0.012345679012345734,0.9463047731200972,0.5428491830825806,2.0832388401031494,0.9078821726969876,0.9624772560872217,0.48148148148148145,0.8270734707138216,0.10905349794238683,0.921875,0.8485596707818932,0.9313464313464314,0.05123456790123456,0.9175738724727839
2,ABPM,BR,0.9590980795610424,0.9069958847736626,0.9119341563786009,0.9009287925696594,4.283950617283951,0.850318067441378,0.04938271604938271,0.9248513741951414,0.6911410093307495,1.017651081085205,0.9000525537562575,0.9395377267611389,0.4444444444444444,0.8797212939756799,0.12551440329218108,0.909375,0.8364197530864198,0.8387876066521468,0.07616598079561042,0.9051321928460342
3,ABPM,CC,0.8871879286694102,0.9121399176954733,0.902469135802469,0.9102167182662538,4.839506172839506,0.8450914825914825,0.024691358024691357,0.8538813652680963,0.6581157445907593,1.0265944004058838,0.8974604956086437,0.878030767123214,0.4444444444444444,0.8874651907546643,0.12757201646090535,0.8990825688073395,0.8329218106995885,0.8252609811970544,0.25788751714677643,0.9046153846153846
4,ABPM,CDE,0.9801097393689988,0.9514403292181072,0.9637860082304526,0.9504643962848297,4.135802469135802,0.8881299736772995,0.012345679012345734,0.9691827005261258,0.03990925598144531,0.805,0.9513459106051698,0.9734962691208249,0.7160493827160493,0.8967975494291283,0.05761316872427984,0.9623824451410659,0.9193415637860083,0.8846810654086196,0.056172839506172835,0.9563862928348908
5,ABPM,CDN,0.9682373113854595,0.9547325102880659,0.9600823045267489,0.9566563467492261,4.283950617283951,0.8687631689844079,0.012345679012345734,0.9555357176774487,0.7586582899093628,0.7089025974273682,0.9516639053676091,0.963342549413218,0.691358024691358,0.9026455026455026,0.059670781893004114,0.9537037037037037,0.9181069958847737,0.8594497607655502,0.07736625514403292,0.9551777434312211
6,ABPM,CLEMS,0.9515809327846364,0.9310699588477365,0.8915637860082305,0.9318885448916409,4.6419753086419755,0.8314385627345587,0.0,0.8825618720203612,0.03430962562561035,2.020195722579956,0.8986621060695135,0.9327246454717104,0.48148148148148145,0.8448435904576256,0.12345679012345678,0.887905604719764,0.8345679012345678,0.8238428020780962,0.10219478737997258,0.9093655589123867
7,ABPM,CLR,0.9632613168724282,0.9446502057613169,0.858230452674897,0.9380804953560371,4.419753086419753,0.8209785025945143,0.0,0.9047845163250965,0.7941440343856812,1.4200193881988525,0.8906855147595887,0.9350185302188551,0.4074074074074074,0.9451104613385315,0.1440329218106996,0.8583569405099151,0.8205761316872429,0.7867026282180548,0.08131001371742111,0.8964497041420119
8,ABPM,DEEP4,0.8180041152263375,0.9855967078189302,0.785185185185185,0.9845201238390093,4.777777777777778,0.7284595870962861,0.33333333333333337,0.754620220706946,0.34122404098510745,3.397907886505127,0.8628836869577611,0.8023455516059576,0.2839506172839506,0.8333333333333334,0.18930041152263374,0.7851851851851852,0.7777777777777777,0.6543209876543209,0.2921810699588477,0.8736263736263736
9,ABPM,EBRJ48,0.9916152263374487,0.9555555555555556,0.9592592592592591,0.9504643962848297,4.098765432098766,0.8773610525822916,0.0,0.976058424661437,0.6261181831359863,1.3566508293151855,0.9521457965902411,0.9866551588607758,0.691358024691358,0.866931216931217,0.059670781893004114,0.959375,0.9189300411522634,0.8899331662489557,0.017969821673525378,0.9548989113530327
